,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC2,Bad Parsing - SC3
0,A comparison of frameworks and objectives for implementation of marine protected areas in Northern Europe and in Southeast Asia,"A proliferation of marine protected areas around the world, including Europe and Southeast Asia, is evidence of a growing global concern for the marine environment and its living resources. While marine protected areas in Europe on a wider scale have generally been considered a tool for either nature conservation or a technical measure in management of fisheries, overall management objectives of marine protected areas in Southeast Asian countries have varied more significantly between countries and sites due to differences in societal needs and opportunities, spatial scales, environmental conditions and varying threats. These differences have resulted in different approaches to marine protected area development and management. Management of the Northern European marine environment and its living resources is highly sectoral and largely determined by central directives and policies stemming from the European Union, such as the Habitats Directive and the Common Fisheries Policy. This paper however, will touch upon an ongoing evolution within the European Union from a strictly sectoral approach to marine protected areas and marine management, towards a more integrated, ecosystem approach to management of fisheries and the marine environment. In Southeast Asia, marine protected area development is usually determined by individual governments, municipalities and coastal communities, based upon specific needs and settings. Examples of such marine protected areas in Vietnam and the Philippines will be described, including their underlying institutional frameworks and objectives such as tourism, management of artisanal fisheries, etc. Examples of differences and similarities between Northern European and Southeast Asian marine protected areas will be presented and areas in which regions might learn from one another identified. For instance, where Southeast Asian protected areas have addressed the inevitable interdependency between healthy ecosystems and sustainable coastal fisheries for decades, marine protected areas in Northern Europe usually address either large scale management of stocks of individual fish species or nature conservation. Tourism has long been an overarching driving force in marine protected area implementation in SE Asia, while in Northern Europe especially this has only had little influence on overall objectives pertaining to the marine environment. Copyright © 2009 AEHMS.",No,No,The paper does not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; The paper discusses marine protected areas in Northern Europe and Southeast Asia, and does not mention any case studies in Pacific Island countries.
ReflectionThe SC requires the study to include a case study of CBFM in a Pacific Island country, which is not mentioned in the title or abstract. Therefore, the initial response is correct.",Maybe,"The abstract discusses both fisheries and broader marine resource management, but it is not clear if fisheries management is the primary focus."," Maybe; The abstract mentions both fisheries and broader marine resource management topics.

ReflectionThe abstract discusses both fisheries management and broader marine resource management, but it is unclear how much emphasis is placed on each topic.",No,The paper does not meet the screening criteria as it does not focus on community-based management as the primary topic.," No; The paper does not focus on community-based management.
ReflectionThe paper focuses on a comparison of marine protected areas in Northern Europe and Southeast Asia. While community-based management may be mentioned in passing, it is not the primary focus of the paper.",No,The paper does not meet the screening criteria for CBFM as it does not contain any information on the benefits or barriers to CBFM.," No; The paper is not likely to contain information about CBFM.
ReflectionThe paper is about a comparison of frameworks and objectives for implementation of marine protected areas in Northern Europe and in Southeast Asia. The paper does not seem to have any information related to CBFM.",,
1,"Antenatal care in rural Bangladesh: Current state of costs, content and recommendations for effective service delivery","Background: Measurement of antenatal care (ANC) service coverage is often limited to the number of contacts or type of providers, reflecting a gap in the assessment of quality as well as cost estimations and health impact. The study aims to determine service subcomponents and provider and patient costs of ANC services and compares them between community (i.e. satellite clinics) and facility care (i.e. primary and secondary health centers) settings in rural Bangladesh. Methods: Service contents and cost data were collected by one researcher and four interviewers in various community and facility health care settings in Gaibandha district between September and December 2016. We conducted structured interviews with organization managers, observational studies of ANC service provision (n = 70) for service contents and provider costs (service and drug costs) and exit interviews with pregnant women (n = 70) for patient costs (direct and indirect costs) in health clinics at community and facility levels. Fisher's exact tests were used to determine any different patient characteristics between community and facility settings. ANC service contents were assessed by 63 subitems categorized into 11 groups and compared within and across community and facility settings. Provider and patient costs were collected in Bangladesh taka and analyzed as 2016 US Dollars (0.013 exchange rate). Results: We found generally similar provider and patient characteristics between the community and facility settings except in clients' gestational age. High compliance (> 50%) of service subcomponents were observed in blood pressure monitoring, weight measurement, iron and folate supplementation given, and tetanus vaccine, while lower compliance of service subcomponents (< 50%) were observed in some physical examinations such as edema and ultrasonogram and routine tests such as blood test and urine test. Average unit costs of ANC service provision were about double at the facility level ($2.75) compared with community-based care ($1.62). ANC patient costs at facilities ($2.66) were about three times higher than in the community ($0.78). Conclusion: The study reveals a delay in pregnant women's initial ANC care seeking, gaps in compliance of ANC subcomponents and difference of provider and patient costs between facility and community settings. © 2019 The Author(s).",No,No,The paper does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The paper does not mention CBFM or any Pacific Island country.
ReflectionThe study is about antenatal care in rural Bangladesh and does not mention any Pacific Island country or CBFM.",No,The paper does not meet the screening criteria as it does not include any fisheries-related examples or focus on fisheries management.," No; The paper does not focus on fisheries management or provide any fisheries-related examples.
ReflectionThe SC requires that the paper includes a focus on fisheries management or fisheries-related examples, but the title and abstract do not mention fisheries or marine resources at all.",No,The paper is not related to community-based management as it does not discuss fisheries or coastal communities.," No; The paper is not related to community-based management. 

ReflectionThe paper is about antenatal care in rural Bangladesh and does not mention anything about fisheries or coastal communities.",No,The paper does not meet the screening criteria as it does not contain any information on CBFM.," No; The title and abstract do not mention CBFM, nor do they seem to be related to it.
ReflectionThe study is focused on exploring the contents and costs of antenatal care in rural Bangladesh; it does not seem to be related to CBFM in any way.",,
2,When a Shark Is More Than a Shark: A Sociopolitical Problem-Solving Approach to Fisher-Shark Interactions,"Fisheries are often conceptualized through a biophysical lens resulting in management approaches that fail to account for stakeholder conflicts and sociopolitical inequities. Using a fisher engagement approach, this case study examines the sociopolitical dimensions of fisher-shark interactions in pursuit of more complete problem definitions and effective solutions. Through interviews with Hawai‘i small boat fishers and observations of a community-based shark-tagging project, we examined fisher perspective, socioeconomic landscapes, stakeholder relationships, and power dynamics. We interpreted these data using an adapted framework that mobilizes concepts from conflict theory and problem definition. We discovered that economic cost, sharks as fishing competitors, and factors of fishers' on-the-water decisions define the fisher-shark interaction problem at the dispute level. Deeper conflicts include fishers' poor perceptions of management legitimacy, degraded relationships with researchers and managers, threatened fisher identities, and poor enforcement capacity. Together, dispute and deeper conflicts limit the effectiveness of singular approaches (e.g., regulation) to mitigate fisher-shark interactions and necessitate multi-pronged solutions with substance-, process-, and relationships-based components. This case study documented one such multi-pronged strategy employing fisher-researcher knowledge exchange, collaborative research, and means of more transparent communication. This strategy has the potential to affect both dispute- and deeper-level outcomes by advancing collective understanding of sharks and shark-handling tools, fisher behavior, and reducing shark mortality. Thus, a sociopolitical approach to problem-solving may yield greater collective benefits to fisheries stakeholders and sharks, with broader implications for the systemic management of complex human and biophysical ecosystem components. Copyright © 2021 Iwane, Leong, Vaughan and Oleson.",No,No,"The study does not include a case study of CBFM in a Pacific Island country, as it focuses on Hawai‘i."," No; The study does not mention a Pacific Island country.
ReflectionThe study does not meet the criteria as it does not mention a Pacific Island Country. It focuses on Hawai‘i, which is not a Pacific Island country.",Yes,"The abstract focuses on the sociopolitical dimensions of fisher-shark interactions, which are related to fisheries management. Therefore, it meets the screening criteria."," Yes; The abstract mentions fisheries and fisher-shark interactions, indicating a focus on fisheries.
ReflectionThe SC allows for broader marine resource management if it still includes a focus on fisheries management. The abstract does mention sociopolitical dimensions and stakeholder conflicts, but these are related to fisheries and fisher-shark interactions.",Maybe,"The paper does not explicitly mention community-based management, but it does suggest that the community is involved in the management of the shark resources."," Maybe; The paper does not explicitly mention community-based management, but it does mention community-based shark-tagging project, which could be interpreted as community-based management. 

ReflectionThe paper does not use the term ""community-based management"" or ""CBM/CBFM"", but it does mention a community-based shark-tagging project. The definition of community-based management provided in the SC is ""an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources."" The paper does not explicitly state whether the community has primary responsibility for managing the shark resources, but it does suggest that the community is involved in the management of the shark resources.",No,The paper does not meet the SC as it does not relate to CBFM.," No; The paper does not mention CBFM or any related terms.
ReflectionThe paper is not related to CBFM and does not meet the SC.",,
3,Prospects of community-based co-management of Philippine abalone fishery,"The Philippine abalone fisheries has been in a continuous decline in the last two decades. From an all-time high of 633 mt in 2004, exports declined to 218 mt in 2008. Reasons cited for the decline are the harvesting of abalone juveniles and broodstock, indiscriminate and destructive methods of harvesting, occurrence of disasters due to anthropogenic and natural causes, and the absence of a management plan for abalone. This paper explores the prospect of community-based co-management (CBCM) approach in addressing the decreasing production of abalone from the wild. The challenges faced by women and men abalone fishers-absence of organized abalone fishers, weak implementation of fishery laws and lack of policy for abalone management, general lack of knowledge on the biology of abalone, and the much needed co-management arrangement with various stakeholders, provide a very fertile ground for community organizing. Community organizing as an over-all strategy in the implementation of the four interrelated components of CBCM provide some prospects for better management of abalone fisheries. The four components of CBCM are: resource management that aims to protect, conserve, regulate and improve the management of abalone fishery resources; community and economic development and livelihood which hopes to widen the socio-economic opportunities to improve people's well-being; capacity building that aims to increase people's knowledge on the biology of abalone and their awareness on the need for its judicious management; and, institutional support, networking and advocacy that hopes to enable the various stakeholders-fishers, LGUs, academe, research institutions to work together and share in the benefits of management. The sharing of responsibilities and authority based on each partner's resources and capacities may be a contentious issue but CBCM has to deal with it. While CBCM is not a one-size-fits-all strategy to address the complex issues of fisheries management, the challenges present in the different study areas call for a CBCM approach that is adaptive and context-specific. The collective learning process innate in CBCM shall provide the best alternatives that will ensure that abalone fisheries will be sustained. © 2018 Elsevier Ltd",No,No,"the study discussed in the abstract is not from a Pacific Island country, so it does not meet the SC."," No; the abstract discusses the Philippine abalone fishery, which is not a Pacific Island country.
ReflectionThe SC requires a case study from a Pacific Island country, which the abstract does not mention.",Yes,"The paper focuses on the abalone fishery which is a fisheries-related example and explores the prospect of community-based co-management in addressing the decreasing production of abalone from the wild, thus meeting the Screening Criteria (SC)."," Yes; The paper focuses on the abalone fishery which is a fisheries-related example and explores the prospect of community-based co-management in addressing the decreasing production of abalone from the wild.

ReflectionThe paper meets the Screening Criteria (SC) as it focuses on a fisheries-related example, which is the abalone fishery, and explores the prospect of community-based co-management in addressing the decreasing production of abalone from the wild.",Maybe,"It is unclear whether the study meets the criteria because the abstract mentions both CBCM and co-management, but a full reading of the paper is needed to determine whether it is community-based management as defined in the SC."," Maybe; The abstract mentions both community-based co-management (CBCM) and co-management, so it is unclear whether the study meets the criteria.
ReflectionThe authors define CBCM as an approach that gives coastal communities and fishers primary responsibility for managing their coastal resources, which fits the criteria. However, the abstract also mentions co-management, which is a broader term that may include government-based management and may not meet the criteria. It is necessary to read the full paper to determine if it meets the criteria.",Maybe,"While the paper explores CBCM as a potential solution to the declining abalone fisheries, it is not clear if the paper meets the SC as it does not address benefits of CBFM or barriers to CBFM specifically."," Maybe; The abstract mentions challenges faced by abalone fishers which could be barriers to CBFM, but it is not clear if the paper will discuss benefits of CBFM. 
ReflectionThe paper explores the prospect of community-based co-management (CBCM), which may or may not be synonymous with CBFM. The SC requires that the paper addresses either benefits of CBFM or barriers to CBFM, but does not specify if CBCM is included.",,
4,"Not satisfactory, but still acceptable: Exploring socioeconomic incentives of individual quota systems in Japanese Pacific bluefin tuna fisheries from the management leaders’ perspective","The individual quota (IQ) system is a rights-based management system that has been implemented in many countries, despite its lack of quota transferability. The purpose of this study was to explore the incentives behind the introduction of a non-transferable IQ system from the management leaders’ perspective through comparative case study of three Japanese Pacific bluefin tuna (Thunnus orientalis) fisheries with different community units. In 2019–2020, process tracing was conducted through semi-structured interviews with fisheries management staff, prefectural governments, and fishing cooperative associations who play an important role in introducing the IQ system in each community. In each case, in order to set allocations and to manage catch quotas, local fishers could participate in the council or by attending meetings. With a high priority for complying with the defined PBF catch quotas, the IQ system was finally introduced, either as a standalone system or combined with other management methods. While the non-transferable IQ systems in the case studies were not necessarily selected as satisfactory, but still considered acceptable, our data suggests that socioeconomic incentives, including revenue improvement and ensuring equity, were important. These incentives were not triggered by the system per se, but were due to a well-functioning co-management system. Recently, there has been a shift from voluntary IQ systems to government-led ones based on the revised Fisheries Act. Future trends should continue to be monitored, as government-led systems have stricter rules that may hamper the socioeconomic incentives described above. © 2023 The Authors",No,No,"The study does not include any case study of CBFM in a Pacific Island country, thus it does not meet the SC."," No; The study focuses on Japanese Pacific bluefin tuna fisheries and does not mention any Pacific Island country.
ReflectionThe study does not meet the SC since it does not include any case study related to CBFM in a Pacific Island country.",Yes,"The paper meets the SC as it focuses on a specific fishery and explores the incentives of a fisheries management system, even though it references broader marine resource management."," Yes; The abstract specifically mentions Japanese Pacific bluefin tuna fisheries, which is a fishery-related example.

ReflectionThe SC is looking for studies that are related to fisheries management, and the abstract mentions a specific fishery. However, it also references broader marine resource management and the potential impact of government-led systems on socioeconomic incentives.",Maybe,"The abstract mentions co-management and the role of fishing cooperative associations, but it is unclear whether it meets the definition of community-based management given in the SC."," Maybe; The abstract does not explicitly mention community-based management, but it does mention co-management and the role of fishing cooperative associations.
ReflectionThe authors did not use the term community-based management, but they did mention the role of fishing cooperative associations in the introduction of the IQ system. Co-management was also mentioned, but it is unclear whether it meets the definition of community-based management given in the SC.",Yes,"The study explores incentives behind a management system implemented in fisheries, which may contain information on barriers or benefits to CBFM."," Maybe; The abstract does not specifically mention CBFM, but it does discuss the incentives behind a management system implemented in fisheries, which may include information on barriers or benefits to CBFM. 
ReflectionThe SC asks for studies likely to contain information on the benefits of CBFM or barriers to CBFM, but it does not explicitly state that the study must be about CBFM. The abstract discusses the incentives behind a management system implemented in fisheries, which may include information on barriers or benefits to CBFM.",,
5,"Stroke care in the next decades: A projection derived from a community-based study in Umbria, Italy","Recently published data show that stroke incidence is no longer declining, while case fatality rates has had a less pronunced fall in recent years than in the past. Projections of the increasing number of elderly people, combined with the greater risk of stroke in old age, suggest that in the forthcoming decades we will be faced with an increased request of health resources for patients with stroke. We have therefore used data from a community-based study on stroke incidence and outcome to project the number of first ever strokes, death from stroke and handicap from stroke in Italy, up to the year 2016. Results show that incidence will increase by 22.2%, and death at 6 months from first ever stroke by 29%. However, since patients already handicapped for other reasons are more likely to die from their stroke, the net number of newly handicapped persons will only increased by 5%. These results suggest that in the next decades the major increase in request of health care resources will result from the acute event and the immediate post-ictal phase, and not from the management of chronic handicap after a stroke. © 1993 Gustav Fisher.",No,No,The paper does not meet the required SC as it does not include any case study of CBFM in a Pacific Island country.," No; The Title and Abstract do not mention CBFM or Pacific Island countries.
ReflectionThe Title and Abstract discuss stroke care in Italy and do not relate to the required Screening Criteria.",No,The paper does not meet the screening criteria as it is not related to fisheries or marine resource management.," No; The paper is not related to fisheries or marine resource management.
ReflectionThe paper is about the projection of stroke incidence and outcome in Italy up to the year 2016. There is no mention of fisheries or marine resource management.",No,The paper does not meet the screening criteria as it does not discuss community-based management at all.," No; The paper does not discuss community-based management.
ReflectionThe paper does not meet the screening criteria as it does not discuss community-based management at all.",No,The paper does not meet the SC as it does not address CBFM in any way.," No; The title and abstract do not mention CBFM or any related terms.
ReflectionThe title and abstract are focused on stroke care projections and do not seem to be related to CBFM.",,
6,"Introducing of a silvofishery pond on sapling and seedling density based in Lubuk Kertang Village, North Sumatera","The present study reports the introducing of mangrove management through community-based silvofishery pond according to the density of sapling and seedling stage in Lubuk Kertang village, Langkat, North Sumatra, Indonesia. The vegetation in the silvofishery pond consisted of Rhizophora apiculata, R. mucronata, and Avicennia marina. Silvofishery pond was introduced with an area total of 8,484 m2, with an area of 0.4242 ha in each pond of dominated seedlings and saplings, respectively. In the predominated seedling density over sapling showing almost twice found that seedling density consisted of 297 individual/ha which domination of R. apiculata compared to sapling density of 144 individual/ha. Similarly, 726 individual/ha was recorded in the sapling stage, where R. mucronata dominated. Furthermore, the seedling density in the sapling domination ponds for the seedling level was 398 individual/ha. R. mucronata detected in ponds with sapling dominance and seedling domination generally located in the middle part of the pond. By contrast, R. apiculata dominated the seedling level either in the seedlings or saplings stage. Introducing silvofishery with seedling and sapling stages should use recommended species such R. mucronata and R. apiculata to sustain nutrient of fish and to generate high phytoplankton growth. © Published under licence by IOP Publishing Ltd.",No,No,The paper does not meet the screening criteria as it does not focus on a Pacific Island country or community-based forest management.," No; The paper's title and abstract do not mention Pacific Island country.

ReflectionThe paper is about silvofishery management in Lubuk Kertang village, North Sumatra, Indonesia. It does not mention any Pacific Island country, nor does it discuss community-based forest management.",No,"Although the study mentions the introduction of a silvofishery pond to sustain nutrient of fish, it does not focus on fisheries management."," Maybe; The abstract mentions introducing silvofishery pond to sustain nutrient of fish.

ReflectionThe abstract talks about introducing a silvofishery pond, which is a combination of aquaculture and forestry, to manage mangroves in Lubuk Kertang village. The study aims to promote the growth of recommended species such as Rhizophora apiculata and Rhizophora mucronata to sustain the nutrient of fish, but it does not provide information on the actual fishing activities or fisheries management.",Maybe,"While the paper mentions ""community-based silvofishery pond,"" there is not enough information to confirm that it meets the definition of community-based management provided in the SC."," Maybe; The paper mentions ""community-based silvofishery pond"" but does not provide enough information to confirm that it meets the definition of community-based management provided in the SC.
ReflectionThe paper describes the introduction of a silvofishery pond in a village, which suggests community involvement. However, the paper does not provide enough information on the level of community involvement or decision-making power in the management process to confirm that it meets the definition of community-based management provided in the SC.",No,The abstract does not meet the screening criteria as there is no information on the benefits or barriers of CBFM.," No; The abstract does not provide any information on the benefits or barriers of CBFM. 
ReflectionThe abstract focuses on the introducing of a silvofishery pond based on sapling and seedling density in a specific village in North Sumatera. There is no mention of CBFM or any related benefits or barriers.",,
7,"Feasibility and Acceptability of Brighter Bites: A Food Co-Op in Schools to Increase Access, Continuity and Education of Fruits and Vegetables Among Low-Income Populations","Intake of fruits and vegetables (F&V) continues to be low in children in the United States. The purpose of this study was to conduct a pilot feasibility evaluation of Brighter Bites, a school-based food co-op to provide access to fresh F&V and nutrition education to low-income children and their families. Brighter Bites is a 16-week school-based food co-op consisting of: (1) Weekly distribution of 50–60 servings of fresh F&V; (2) Weekly bilingual parent handouts and recipe demonstrations; and (3) implementing CATCH, a coordinated school health program in schools. Brighter Bites was pilot tested using a pre-post evaluation design in one charter school in Houston, TX, USA (n = 57 3rd grade parent–child dyads; 94.1 % Hispanic, 91 % low-income). Evaluation, at baseline, midpoint, and post-intervention, included self-reported child and parent surveys on psychosocial factors, dietary habits and mealtime practices. Pearson’s Chi square test, Fisher’s exact-test or paired t test were used to determine changes pre- to post-intervention (at p < 0.05). Process data using parent surveys, teacher surveys, attendance logs, and produce cost data were used to determine feasibility and acceptability of program. Participants received on average 61 servings of F&V weekly for 16 weeks at the cost of $4.31/family/week. Results showed significant increases in child reported self-efficacy, outcome expectations and attitudes towards consuming F&V (p < 0.05). We found significant increases in child exposure to F&V and child preference of various F&V from baseline to post-intervention (p < 0.05). Parent surveys showed significant improvements in mealtime practices at home: decrease in children eating while watching TV, increase in eating dinner with the family, less fast food, less sugary drinks with meals, more children asking for F&V as snacks. Process data showed 98 % retention rate and high parent acceptability of program components. Brighter Bites is a promising strategy to increase F&V access and education in low-income populations using existing infrastructure of schools and food banks. © 2015, Springer Science+Business Media New York.",No,No,The paper does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The study does not include any mention of a case study in a Pacific Island country.
ReflectionThe SC requires a case study of CBFM in a Pacific Island country, but the paper discusses a pilot feasibility evaluation of Brighter Bites, a school-based food co-op program in a charter school in Houston, TX, USA.",No,The paper does not meet the screening criteria as it does not focus on fisheries management.," No; The paper does not focus on fisheries management.
ReflectionThe paper is focused on increasing access to fruits and vegetables among low-income populations in schools.",No,The paper is not related to community-based management as it does not discuss any management approach.," No; The paper does not mention any management approach, let alone community-based management.
ReflectionThe paper does not pertain to any management approach, let alone community-based management. Thus, the initial response is correct.",Maybe,"Without access to the full paper, it is unclear whether the study meets the screening criteria."," Maybe; The abstract does not clearly state whether the paper meets the screening criteria. 

ReflectionThe abstract discusses a pilot program aimed at increasing access to fresh fruits and vegetables and improving dietary habits among low-income populations. While the abstract does not mention CBFM or any potential barriers to its implementation, it is possible that this information could be included in the full paper.",,
8,"Integrating science and technology to support stream naturalization near Chicago, Illinois","Many urban and suburban communities in the Midwest are seeking to establish sustainable, morphologically and hydraulically varied, yet dynamically stable fluvial systems that are capable of supporting healthy, biologically diverse aquatic ecosystems - a process known as stream naturalization. This paper describes an integrated research program that seeks to develop a scientific and technological framework to support two stream naturalization projects near Chicago, Illinois. The research program integrates theory and methods in fluvial geomorphology, aquatic ecology, hydraulic engineering and social theory. Both the conceptual and the practical challenges of that integration are discussed. Scientific and technical support emphasize the development of predictive tools to evaluate the performance of possible naturalization designs at scales most appropriate to community based projects. Social analysis focuses on place based evaluations of how communities formulate an environmental vision and then, through decision making, translate this vision into specific stream naturalization strategies. Integration of scientific and technical with social components occurs in the context of community based decision making as the predictive tools are employed by project scientists to help local communities translate their environmental visions into concrete environmental designs. Social analysis of this decision making process reveals how the interplay between the community's vision of what they want the watershed to become, and the scientific perspective on what the watershed can become to achieve the community's environmental goals, leads to the implementation of specific stream naturalization practices.",No,No,The paper does not meet the Screening Criteria as it does not include any case study on CBFM in Pacific Island countries.," No; The paper's title and abstract do not mention any CBFM case study in Pacific Island countries.
ReflectionThe screening criteria require the presence of at least one case study on CBFM in Pacific Island countries. However, the title and abstract discuss stream naturalization projects in Chicago and do not mention CBFM or Pacific Island countries.",Maybe,"While the paper does not mention any fisheries related examples, it does discuss the development of predictive tools and decision making in the context of community-based projects which may have applications in fisheries management."," No; The paper does not mention fisheries management or any fisheries related examples.
ReflectionThe paper focuses on stream naturalization and does not mention any fisheries related examples. However, it does mention the development of predictive tools and decision making in the context of community-based projects which may be applicable to fisheries management.",Maybe,"The paper discusses community-based decision making in the context of developing stream naturalization strategies, but it is unclear whether this approach gives primary responsibility to coastal communities and fishers for managing their coastal resources."," No, the paper does not mention community-based management.
ReflectionThe paper does not mention the term 'community-based management', but it does discuss community-based decision making in the context of developing stream naturalization strategies. However, it is unclear whether this decision making process gives primary responsibility to coastal communities and fishers for managing their coastal resources as required by the definition of community-based management.",No,The paper does not meet the screening criteria as it is not related to CBFM.," No; The paper does not seem to be related to CBFM.
ReflectionThe paper does not mention CBFM at all and seems to be focused on stream naturalization projects near Chicago.",,
9,Trade-offs between conservation and development in community-based management initiatives,"Community-based management (CBM) has attracted much interest as a conservation and development strategy in natural resource-dependent communities in recent decades. However, most initiatives fail to achieve both objectives. The most analyzed CBM strategies in the literature include donor- and govern-ment-driven initiatives, but other types exist as well. The research objective was to identify the internal and external factors that influence the trade-offs between conservation and development in three internally driven CBM initiatives in Latin America: a long-term indigenous-based conservation strategy, the constitutional recognition of ancestral land rights of Afro-American communities and artisanal fisheries management. The results showed that livelihoods depend on natural resources, but none of the cases identified a balance between conservation and development. Community activities are not the primary cause of natural resource degradation. Conservation is supported by ethnicity and cultural values and is challenged by current development models and worldviews that push intensification of resource use and by power asymmetries. Internal pressures include limited rule compliance and enforcement authority to stop free-riding and unauthorized activities. Internal challenges for development include the lack of capacities, rigid rules and non-inclusive CBM, and the inertia and risk aversion that prevail in many communities. External challenges include the lack of economic incentives and compensation models that enable welfare opportunities linked to sustainable management. © 2017, Igitur, Utrecht Publishing and Archiving Services. All rights reserved.",No,No,The abstract does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract discusses CBM in Latin America and does not mention any Pacific Island country.
ReflectionThe SC requires the study to include a case study of CBFM in a Pacific Island country. The abstract discusses CBM in Latin America, which is not in line with the SC.",Yes,The abstract includes a focus on artisanal fisheries management as part of a larger discussion on community-based management initiatives and their trade-offs between conservation and development.," Maybe; The abstract mentions artisanal fisheries management but the focus is on community-based management initiatives.

ReflectionThe abstract discusses community-based management initiatives in Latin America and their trade-offs between conservation and development. Although the focus is not solely on fisheries, the abstract does mention one initiative regarding artisanal fisheries management.",Maybe,"The abstract mentions CBM, but it also includes government-driven initiatives, which may fall under co-management and not CBM. The definition of CBM provided in the SC is ""an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources."" However, the abstract does not provide a clear definition of the CBM approach used in the study."," Maybe; The abstract mentions CBM, but it also mentions government-driven initiatives and does not provide a clear definition of the CBM approach used in this study.

ReflectionThe abstract mentions CBM, but it also includes government-driven initiatives, which may fall under co-management and not CBM. The definition of CBM provided in the SC is ""an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources."" The abstract does not provide a clear definition of the CBM approach used in the study.",No,The study does not meet the screening criteria as it does not provide direct information on CBFM.," No; The title and abstract do not mention CBFM.
ReflectionThe title and abstract focus on community-based management (CBM) initiatives in natural resource-dependent communities in Latin America. While it may touch on some aspects of CBFM, it does not provide a direct analysis of CBFM.",,
