,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC2
0,A comparison of frameworks and objectives for implementation of marine protected areas in Northern Europe and in Southeast Asia,"A proliferation of marine protected areas around the world, including Europe and Southeast Asia, is evidence of a growing global concern for the marine environment and its living resources. While marine protected areas in Europe on a wider scale have generally been considered a tool for either nature conservation or a technical measure in management of fisheries, overall management objectives of marine protected areas in Southeast Asian countries have varied more significantly between countries and sites due to differences in societal needs and opportunities, spatial scales, environmental conditions and varying threats. These differences have resulted in different approaches to marine protected area development and management. Management of the Northern European marine environment and its living resources is highly sectoral and largely determined by central directives and policies stemming from the European Union, such as the Habitats Directive and the Common Fisheries Policy. This paper however, will touch upon an ongoing evolution within the European Union from a strictly sectoral approach to marine protected areas and marine management, towards a more integrated, ecosystem approach to management of fisheries and the marine environment. In Southeast Asia, marine protected area development is usually determined by individual governments, municipalities and coastal communities, based upon specific needs and settings. Examples of such marine protected areas in Vietnam and the Philippines will be described, including their underlying institutional frameworks and objectives such as tourism, management of artisanal fisheries, etc. Examples of differences and similarities between Northern European and Southeast Asian marine protected areas will be presented and areas in which regions might learn from one another identified. For instance, where Southeast Asian protected areas have addressed the inevitable interdependency between healthy ecosystems and sustainable coastal fisheries for decades, marine protected areas in Northern Europe usually address either large scale management of stocks of individual fish species or nature conservation. Tourism has long been an overarching driving force in marine protected area implementation in SE Asia, while in Northern Europe especially this has only had little influence on overall objectives pertaining to the marine environment. Copyright © 2009 AEHMS.",No,No,The study does not meet the screening criteria as it does not include any case study of CBFM in Pacific Island countries.," No; The given title and abstract do not mention Pacific Island countries or CBFM.
ReflectionThe title and abstract discuss marine protected areas in Northern Europe and Southeast Asia, their objectives, and management approaches. There is no indication of CBFM or Pacific Island countries.",Yes,"The paper includes examples of marine protected areas in Southeast Asia that have objectives beyond just fisheries management, but still include a focus on fisheries management, such as management of artisanal fisheries. Additionally, the paper discusses the evolution towards a more integrated, ecosystem approach to management of fisheries and the marine environment in Northern Europe."," Maybe; The abstract mentions management of fisheries in Northern Europe, but the examples of marine protected areas in Southeast Asia do not focus solely on fisheries management.

ReflectionThe SC allows for papers that refer to broader marine resource management as long as they still include a focus on fisheries management. The abstract mentions an ongoing evolution towards a more integrated, ecosystem approach to management of fisheries and the marine environment in Northern Europe. While the examples of marine protected areas in Southeast Asia have objectives beyond just fisheries management, the abstract does mention management of artisanal fisheries as one of the objectives.",Maybe,"While the abstract does not directly mention community-based management, it does suggest that community-led approaches may be present in some Southeast Asian marine protected areas."," Maybe; The abstract does not directly mention community-based management; however, it does provide some information about marine protected areas in Southeast Asia that could potentially be community-managed.

ReflectionThe abstract mentions that marine protected area development in Southeast Asia is usually determined by individual governments, municipalities, and coastal communities, based on specific needs and settings. Additionally, examples of such marine protected areas in Vietnam and the Philippines are described, including their underlying institutional frameworks and objectives such as management of artisanal fisheries. While the abstract does not directly mention community-based management, it does suggest that community-led approaches may be present in some Southeast Asian marine protected areas.",No,There is no mention of CBFM in the Title and Abstract.," No; The Title and Abstract do not mention CBFM or provide any indication that the paper provides information on the benefits of CBFM or barriers to it. 

ReflectionThe paper focuses on a comparison of the management objectives and approaches of marine protected areas in Northern Europe and Southeast Asia. It does not seem to have any direct link to CBFM.",
1,"Antenatal care in rural Bangladesh: Current state of costs, content and recommendations for effective service delivery","Background: Measurement of antenatal care (ANC) service coverage is often limited to the number of contacts or type of providers, reflecting a gap in the assessment of quality as well as cost estimations and health impact. The study aims to determine service subcomponents and provider and patient costs of ANC services and compares them between community (i.e. satellite clinics) and facility care (i.e. primary and secondary health centers) settings in rural Bangladesh. Methods: Service contents and cost data were collected by one researcher and four interviewers in various community and facility health care settings in Gaibandha district between September and December 2016. We conducted structured interviews with organization managers, observational studies of ANC service provision (n = 70) for service contents and provider costs (service and drug costs) and exit interviews with pregnant women (n = 70) for patient costs (direct and indirect costs) in health clinics at community and facility levels. Fisher's exact tests were used to determine any different patient characteristics between community and facility settings. ANC service contents were assessed by 63 subitems categorized into 11 groups and compared within and across community and facility settings. Provider and patient costs were collected in Bangladesh taka and analyzed as 2016 US Dollars (0.013 exchange rate). Results: We found generally similar provider and patient characteristics between the community and facility settings except in clients' gestational age. High compliance (> 50%) of service subcomponents were observed in blood pressure monitoring, weight measurement, iron and folate supplementation given, and tetanus vaccine, while lower compliance of service subcomponents (< 50%) were observed in some physical examinations such as edema and ultrasonogram and routine tests such as blood test and urine test. Average unit costs of ANC service provision were about double at the facility level ($2.75) compared with community-based care ($1.62). ANC patient costs at facilities ($2.66) were about three times higher than in the community ($0.78). Conclusion: The study reveals a delay in pregnant women's initial ANC care seeking, gaps in compliance of ANC subcomponents and difference of provider and patient costs between facility and community settings. © 2019 The Author(s).",No,No,The study does not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; The paper does not mention CBFM or any Pacific Island country.
ReflectionThe SC requires the study to include at least one case study of CBFM in a Pacific Island country, which is not mentioned in the title or abstract.",No,The paper does not meet the screening criteria as it does not focus on fisheries or marine resource management.," No; The paper does not focus on fisheries or marine resource management.
ReflectionThe paper is about antenatal care services in rural Bangladesh. There is no mention of fisheries or marine resource management in the title or abstract.",No,The paper does not meet the screening criteria as it is not related to community-based management.," No; The paper does not mention anything related to fisheries management or coastal resources.
ReflectionThe paper is not related to community-based management as defined in the SC.",Maybe,"Without further information, it is unclear whether the study meets the SC. However, since ANC services may include CBFM, it is possible that the study may have information on barriers to or benefits of CBFM."," Maybe; The abstract does not mention CBFM or related terms. 
ReflectionThe abstract discusses antenatal care (ANC) services and their costs in rural Bangladesh. Although the abstract does not mention CBFM, it is possible that the study may have information on barriers to or benefits of CBFM. ANC services may include CBFM, and the study may highlight any challenges or advantages associated with using CBFM in rural Bangladesh.",
2,When a Shark Is More Than a Shark: A Sociopolitical Problem-Solving Approach to Fisher-Shark Interactions,"Fisheries are often conceptualized through a biophysical lens resulting in management approaches that fail to account for stakeholder conflicts and sociopolitical inequities. Using a fisher engagement approach, this case study examines the sociopolitical dimensions of fisher-shark interactions in pursuit of more complete problem definitions and effective solutions. Through interviews with Hawai‘i small boat fishers and observations of a community-based shark-tagging project, we examined fisher perspective, socioeconomic landscapes, stakeholder relationships, and power dynamics. We interpreted these data using an adapted framework that mobilizes concepts from conflict theory and problem definition. We discovered that economic cost, sharks as fishing competitors, and factors of fishers' on-the-water decisions define the fisher-shark interaction problem at the dispute level. Deeper conflicts include fishers' poor perceptions of management legitimacy, degraded relationships with researchers and managers, threatened fisher identities, and poor enforcement capacity. Together, dispute and deeper conflicts limit the effectiveness of singular approaches (e.g., regulation) to mitigate fisher-shark interactions and necessitate multi-pronged solutions with substance-, process-, and relationships-based components. This case study documented one such multi-pronged strategy employing fisher-researcher knowledge exchange, collaborative research, and means of more transparent communication. This strategy has the potential to affect both dispute- and deeper-level outcomes by advancing collective understanding of sharks and shark-handling tools, fisher behavior, and reducing shark mortality. Thus, a sociopolitical approach to problem-solving may yield greater collective benefits to fisheries stakeholders and sharks, with broader implications for the systemic management of complex human and biophysical ecosystem components. Copyright © 2021 Iwane, Leong, Vaughan and Oleson.",No,No,The study does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract does not mention any Pacific Island country or CBFM.
ReflectionThe abstract focuses on a sociopolitical approach to problem-solving in fisheries, specifically regarding fisher-shark interactions in Hawaii. While the study provides useful insights into stakeholder conflicts and power dynamics, it does not meet the SC of including a case study of CBFM in a Pacific Island country.",Yes,The paper includes a focus on fisheries management through its examination of fisher-shark interactions and fisher behavior.," Yes; The abstract mentions ""fisher-shark interactions"" and ""fisher behavior"" which indicates a focus on fisheries management.

ReflectionThe paper title and abstract emphasize the sociopolitical dimensions of fisher-shark interactions, indicating a broader focus on marine resource management. However, the abstract mentions the specific example of fisheries and fisher behavior, suggesting that the study includes a focus on fisheries management.",Maybe,"While the abstract mentions a community-based shark-tagging project and the study examines stakeholder relationships and power dynamics, it is unclear whether the management approach used was explicitly community-based or not."," Maybe; The abstract mentions a community-based shark-tagging project, but it is unclear whether the management approach used was community-based or not.
ReflectionThe abstract mentions the use of a fisher engagement approach and examination of stakeholder relationships and power dynamics, which are key components of community-based management. However, it is unclear whether the management approach used in the study was explicitly community-based or not.",No,The paper does not meet the screening criteria as it does not contain information on the benefits of CBFM or barriers to CBFM.," No; The given paper Title and Abstract does not contain any information on CBFM. 

ReflectionCBFM is not mentioned in the Title or Abstract of the paper. Therefore, the paper is not likely to contain information on the benefits of CBFM or barriers to CBFM.",
3,Prospects of community-based co-management of Philippine abalone fishery,"The Philippine abalone fisheries has been in a continuous decline in the last two decades. From an all-time high of 633 mt in 2004, exports declined to 218 mt in 2008. Reasons cited for the decline are the harvesting of abalone juveniles and broodstock, indiscriminate and destructive methods of harvesting, occurrence of disasters due to anthropogenic and natural causes, and the absence of a management plan for abalone. This paper explores the prospect of community-based co-management (CBCM) approach in addressing the decreasing production of abalone from the wild. The challenges faced by women and men abalone fishers-absence of organized abalone fishers, weak implementation of fishery laws and lack of policy for abalone management, general lack of knowledge on the biology of abalone, and the much needed co-management arrangement with various stakeholders, provide a very fertile ground for community organizing. Community organizing as an over-all strategy in the implementation of the four interrelated components of CBCM provide some prospects for better management of abalone fisheries. The four components of CBCM are: resource management that aims to protect, conserve, regulate and improve the management of abalone fishery resources; community and economic development and livelihood which hopes to widen the socio-economic opportunities to improve people's well-being; capacity building that aims to increase people's knowledge on the biology of abalone and their awareness on the need for its judicious management; and, institutional support, networking and advocacy that hopes to enable the various stakeholders-fishers, LGUs, academe, research institutions to work together and share in the benefits of management. The sharing of responsibilities and authority based on each partner's resources and capacities may be a contentious issue but CBCM has to deal with it. While CBCM is not a one-size-fits-all strategy to address the complex issues of fisheries management, the challenges present in the different study areas call for a CBCM approach that is adaptive and context-specific. The collective learning process innate in CBCM shall provide the best alternatives that will ensure that abalone fisheries will be sustained. © 2018 Elsevier Ltd",No,No,The study does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The study focuses on the Philippine abalone fishery, which is not in a Pacific Island country.

ReflectionThe SC requires that the study includes a case study of CBFM in a Pacific Island country. The abstract mentions the Philippine abalone fishery, which is not in a Pacific Island country.",Yes,"The paper focuses on the management of a specific fishery, which is the Philippine abalone fishery."," Yes; The paper focuses on the management of a specific fishery, which is the Philippine abalone fishery.
ReflectionThe SC requires that the paper should only include studies related to fisheries management. The paper focuses on the Philippine abalone fishery, which meets the criteria of the SC.",Maybe,"While the paper uses the term CBCM and aligns with the definition of community-based management provided in the screening criteria, the mention of co-management arrangements with government agencies makes it unclear whether this study fits the screening criteria."," Maybe; The paper uses the term community-based co-management (CBCM), but it is unclear whether this fits the definition of community-based management provided in the screening criteria. 

ReflectionThe paper explores the prospect of a community-based co-management approach (CBCM) to address the declining production of abalone in the Philippines, which aligns with the community-based management definition provided in the screening criteria. However, the paper also mentions the need for co-management arrangements with various stakeholders, which could include government agencies.",Yes,"The abstract mentions a community-based co-management approach and challenges faced by abalone fishers, which may include information on either the benefits of CBFM or barriers to CBFM."," Maybe; The abstract mentions challenges faced by abalone fishers and explores a community-based co-management approach, which may include information on barriers or benefits to CBFM. However, this is not explicitly stated in the abstract. 

ReflectionThe SC requires that the paper contains information on either the benefits of CBFM or barriers to CBFM. The abstract mentions a community-based co-management approach and challenges faced by abalone fishers, which may include information on either the benefits of CBFM or barriers to CBFM.",
4,"Not satisfactory, but still acceptable: Exploring socioeconomic incentives of individual quota systems in Japanese Pacific bluefin tuna fisheries from the management leaders’ perspective","The individual quota (IQ) system is a rights-based management system that has been implemented in many countries, despite its lack of quota transferability. The purpose of this study was to explore the incentives behind the introduction of a non-transferable IQ system from the management leaders’ perspective through comparative case study of three Japanese Pacific bluefin tuna (Thunnus orientalis) fisheries with different community units. In 2019–2020, process tracing was conducted through semi-structured interviews with fisheries management staff, prefectural governments, and fishing cooperative associations who play an important role in introducing the IQ system in each community. In each case, in order to set allocations and to manage catch quotas, local fishers could participate in the council or by attending meetings. With a high priority for complying with the defined PBF catch quotas, the IQ system was finally introduced, either as a standalone system or combined with other management methods. While the non-transferable IQ systems in the case studies were not necessarily selected as satisfactory, but still considered acceptable, our data suggests that socioeconomic incentives, including revenue improvement and ensuring equity, were important. These incentives were not triggered by the system per se, but were due to a well-functioning co-management system. Recently, there has been a shift from voluntary IQ systems to government-led ones based on the revised Fisheries Act. Future trends should continue to be monitored, as government-led systems have stricter rules that may hamper the socioeconomic incentives described above. © 2023 The Authors",No,No,The abstract does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract does not mention anything about a case study of CBFM in a Pacific Island country.
ReflectionThe abstract focuses on exploring the incentives behind the introduction of a non-transferable IQ system in Japanese Pacific bluefin tuna fisheries from the management leaders' perspective. It does not mention anything about a case study of CBFM in a Pacific Island country.",Yes,"The paper title and abstract mention the use of IQ system in Japanese Pacific bluefin tuna fisheries, which is related to fisheries management. The involvement of prefectural governments and fishing cooperative associations in introducing the IQ system suggests a broader marine resource management focus, but the focus on fisheries management is still evident."," Maybe; The abstract mentions the implementation of Individual Quota (IQ) system in Japanese Pacific bluefin tuna fisheries, but it is not clear whether the paper focuses solely on fisheries management or includes broader marine resource management.

ReflectionThe paper title and abstract mention the use of IQ system in Japanese Pacific bluefin tuna fisheries, which is related to fisheries management. However, the abstract also mentions the involvement of prefectural governments and fishing cooperative associations in introducing the IQ system, which suggests a broader marine resource management focus.",Maybe,"The abstract mentions co-management and government-led systems, but it is not clear if the study is solely focused on community-based management."," Maybe; The abstract mentions co-management and government-led systems, but it is not clear if the study is solely focused on community-based management.

ReflectionThe abstract mentions that the study explores the incentives behind the introduction of a non-transferable IQ system from the management leaders' perspective through comparative case studies of three Japanese Pacific bluefin tuna fisheries with different community units. While co-management and government-led systems are mentioned, it is not clear if the study is solely focused on community-based management.",No,The paper does not meet the screening criteria as it does not mention CBFM or any related concept.," No; The paper does not mention CBFM or any related concept.
ReflectionThe paper is not related to the screening criteria as it does not mention CBFM or any related concept.",
5,"Stroke care in the next decades: A projection derived from a community-based study in Umbria, Italy","Recently published data show that stroke incidence is no longer declining, while case fatality rates has had a less pronunced fall in recent years than in the past. Projections of the increasing number of elderly people, combined with the greater risk of stroke in old age, suggest that in the forthcoming decades we will be faced with an increased request of health resources for patients with stroke. We have therefore used data from a community-based study on stroke incidence and outcome to project the number of first ever strokes, death from stroke and handicap from stroke in Italy, up to the year 2016. Results show that incidence will increase by 22.2%, and death at 6 months from first ever stroke by 29%. However, since patients already handicapped for other reasons are more likely to die from their stroke, the net number of newly handicapped persons will only increased by 5%. These results suggest that in the next decades the major increase in request of health care resources will result from the acute event and the immediate post-ictal phase, and not from the management of chronic handicap after a stroke. © 1993 Gustav Fisher.",No,No,The study is not related to CBFM or Pacific Island countries as mentioned in the Screening Criteria.," No; The title and abstract mention stroke care projections in Italy and do not reference CBFM or Pacific Island countries.

ReflectionThe study is not related to CBFM or Pacific Island countries as mentioned in the Screening Criteria.",No,The paper is not related to fisheries or marine resource management.," No; The paper is not related to fisheries or marine resource management.

ReflectionThe paper is focused on stroke care and projections for health resources, which is not related to fisheries or marine resource management.",No,This paper is not related to community-based management or fisheries management.," No; This paper is about stroke care and does not relate to fisheries management or community-based management.

ReflectionThe paper does not meet the SC as it does not relate to any kind of management of coastal resources or fisheries.",No,The paper does not meet the screening criteria as it does not provide information on the benefits or barriers to CBFM.," No; The Title and Abstract do not mention CBFM, benefits, or barriers to CBFM.
ReflectionThe Title and Abstract are focused on projecting the increase in stroke cases and the corresponding increase in healthcare resources needed to address the issue. There is no mention of CBFM or related topics.",
6,"Introducing of a silvofishery pond on sapling and seedling density based in Lubuk Kertang Village, North Sumatera","The present study reports the introducing of mangrove management through community-based silvofishery pond according to the density of sapling and seedling stage in Lubuk Kertang village, Langkat, North Sumatra, Indonesia. The vegetation in the silvofishery pond consisted of Rhizophora apiculata, R. mucronata, and Avicennia marina. Silvofishery pond was introduced with an area total of 8,484 m2, with an area of 0.4242 ha in each pond of dominated seedlings and saplings, respectively. In the predominated seedling density over sapling showing almost twice found that seedling density consisted of 297 individual/ha which domination of R. apiculata compared to sapling density of 144 individual/ha. Similarly, 726 individual/ha was recorded in the sapling stage, where R. mucronata dominated. Furthermore, the seedling density in the sapling domination ponds for the seedling level was 398 individual/ha. R. mucronata detected in ponds with sapling dominance and seedling domination generally located in the middle part of the pond. By contrast, R. apiculata dominated the seedling level either in the seedlings or saplings stage. Introducing silvofishery with seedling and sapling stages should use recommended species such R. mucronata and R. apiculata to sustain nutrient of fish and to generate high phytoplankton growth. © Published under licence by IOP Publishing Ltd.",No,No,"The study was conducted in North Sumatra, Indonesia, and not in a Pacific Island country as required by the SC."," No; The study was conducted in North Sumatra, Indonesia, which is not a Pacific Island country.
ReflectionThe study focuses on introducing mangrove management through community-based silvofishery pond according to the density of sapling and seedling stage in Lubuk Kertang village. Although the study discusses community-based management, it was conducted in North Sumatra, Indonesia, and not in a Pacific Island country.",Maybe,"The abstract mentions silvofishery ponds and recommended species to sustain nutrients of fish, which suggests that there may be a focus on fisheries management. However, this is not explicitly stated in the abstract."," Maybe; The abstract mentions silvofishery ponds and management, but it does not explicitly state whether there is a focus on fisheries management.

ReflectionThe abstract focuses on the introduction of silvofishery ponds and the density of saplings and seedlings in Lubuk Kertang Village, but it does not explicitly mention fisheries management. However, the use of recommended species like R. mucronata and R. apiculata for sustaining nutrients of fish suggests that the research may have a focus on fisheries management.",Maybe,"The abstract mentions community-based silvofishery pond, but it is not clear whether the management is primarily in the hands of the coastal communities or whether it is a co-management approach with equal power between government and community."," Maybe; The abstract mentions community-based silvofishery pond, but it is not clear whether the management is primarily in the hands of the coastal communities or whether it is a co-management approach with equal power between government and community.
ReflectionThe abstract mentions introducing mangrove management through a community-based silvofishery pond, which could suggest that the management is primarily in the hands of the coastal communities. However, it is not clear from the abstract whether the government is also involved in the management process or whether there is equal power between government and community to manage the resources.",No,The paper does not meet the screening criteria as it does not discuss CBFM or barriers to its implementation.," No; The paper is about introducing a silvofishery pond based on sapling and seedling density in Lubuk Kertang Village, North Sumatera, Indonesia. 

ReflectionThe paper does not discuss CBFM or barriers to its implementation.",
7,"Feasibility and Acceptability of Brighter Bites: A Food Co-Op in Schools to Increase Access, Continuity and Education of Fruits and Vegetables Among Low-Income Populations","Intake of fruits and vegetables (F&V) continues to be low in children in the United States. The purpose of this study was to conduct a pilot feasibility evaluation of Brighter Bites, a school-based food co-op to provide access to fresh F&V and nutrition education to low-income children and their families. Brighter Bites is a 16-week school-based food co-op consisting of: (1) Weekly distribution of 50–60 servings of fresh F&V; (2) Weekly bilingual parent handouts and recipe demonstrations; and (3) implementing CATCH, a coordinated school health program in schools. Brighter Bites was pilot tested using a pre-post evaluation design in one charter school in Houston, TX, USA (n = 57 3rd grade parent–child dyads; 94.1 % Hispanic, 91 % low-income). Evaluation, at baseline, midpoint, and post-intervention, included self-reported child and parent surveys on psychosocial factors, dietary habits and mealtime practices. Pearson’s Chi square test, Fisher’s exact-test or paired t test were used to determine changes pre- to post-intervention (at p < 0.05). Process data using parent surveys, teacher surveys, attendance logs, and produce cost data were used to determine feasibility and acceptability of program. Participants received on average 61 servings of F&V weekly for 16 weeks at the cost of $4.31/family/week. Results showed significant increases in child reported self-efficacy, outcome expectations and attitudes towards consuming F&V (p < 0.05). We found significant increases in child exposure to F&V and child preference of various F&V from baseline to post-intervention (p < 0.05). Parent surveys showed significant improvements in mealtime practices at home: decrease in children eating while watching TV, increase in eating dinner with the family, less fast food, less sugary drinks with meals, more children asking for F&V as snacks. Process data showed 98 % retention rate and high parent acceptability of program components. Brighter Bites is a promising strategy to increase F&V access and education in low-income populations using existing infrastructure of schools and food banks. © 2015, Springer Science+Business Media New York.",No,No,The study does not meet the screening criteria as it does not include any case studies on CBFM in Pacific Island countries.," No; The study does not include any mention of CBFM or Pacific Island countries.
ReflectionThe study is focused on increasing access to fruits and vegetables among low-income populations in the United States, and does not mention any case studies of CBFM in Pacific Island countries.",No,The paper does not meet the SC as it is not related to fisheries management or broader marine resource management.," No; The paper does not focus on fisheries management as it is related to fruits and vegetables access in low-income communities.
ReflectionThe SC specifies that only studies with fisheries related examples or broader marine resource management that still include a focus on fisheries management should be included. This paper is not related to fisheries management or broader marine resource management.",No,The paper is not related to community-based management in fisheries.," No; The paper does not mention anything about community-based management.
ReflectionThe paper is focused on a school-based food co-op program to provide fresh fruits and vegetables to low-income children and their families. It does not relate to community-based management in fisheries.",Maybe,"While the abstract does not explicitly mention CBFM, the program being evaluated includes increasing access to fruits and vegetables and nutrition education, which could potentially provide information on the benefits or barriers to CBFM."," Maybe; The abstract does not explicitly mention CBFM, but it does describe a program that includes nutrition education and increasing access to fruits and vegetables, which could potentially include information on benefits or barriers to CBFM.

ReflectionThe SC is looking for studies that provide information on the benefits or barriers to CBFM. While the abstract does not specifically mention CBFM, the program being evaluated includes increasing access to fruits and vegetables and nutrition education, which could potentially touch on the benefits and barriers of CBFM.",
8,"Integrating science and technology to support stream naturalization near Chicago, Illinois","Many urban and suburban communities in the Midwest are seeking to establish sustainable, morphologically and hydraulically varied, yet dynamically stable fluvial systems that are capable of supporting healthy, biologically diverse aquatic ecosystems - a process known as stream naturalization. This paper describes an integrated research program that seeks to develop a scientific and technological framework to support two stream naturalization projects near Chicago, Illinois. The research program integrates theory and methods in fluvial geomorphology, aquatic ecology, hydraulic engineering and social theory. Both the conceptual and the practical challenges of that integration are discussed. Scientific and technical support emphasize the development of predictive tools to evaluate the performance of possible naturalization designs at scales most appropriate to community based projects. Social analysis focuses on place based evaluations of how communities formulate an environmental vision and then, through decision making, translate this vision into specific stream naturalization strategies. Integration of scientific and technical with social components occurs in the context of community based decision making as the predictive tools are employed by project scientists to help local communities translate their environmental visions into concrete environmental designs. Social analysis of this decision making process reveals how the interplay between the community's vision of what they want the watershed to become, and the scientific perspective on what the watershed can become to achieve the community's environmental goals, leads to the implementation of specific stream naturalization practices.",No,No,The paper does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The paper is not related to CBFM or Pacific Island countries.
ReflectionThe paper does not discuss CBFM, nor does it mention any Pacific Island countries.",No,"While the paper discusses sustainable fluvial systems and aquatic ecosystems, there is no mention of fisheries management or fisheries-related examples."," No; The paper does not mention fisheries management or aquatic ecosystems in relation to fisheries.

ReflectionThe paper does mention aquatic ecosystems, but there is no mention of fisheries management or fisheries-related examples.",Maybe,"While the abstract does not use the specific language of community-based management, it does discuss the involvement of local communities in decision making related to stream naturalization. Further information would be needed to determine if this qualifies as community-based management as defined in the screening criteria."," Maybe; The abstract does not mention community-based management explicitly, but it does discuss community-based decision making in relation to environmental designs. 

ReflectionThe abstract does not use the term ""community-based management,"" but it does discuss the involvement of local communities in decision making related to stream naturalization. While the abstract does not explicitly state that the communities have primary responsibility for managing their coastal resources, it does discuss their role in formulating an environmental vision and translating that vision into specific strategies.",Maybe,"While the paper does not explicitly mention CBFM, it does discuss the integration of scientific and social components to translate environmental visions into concrete environmental designs, which could potentially include benefits or barriers to implementing CBFM practices. Further review is needed."," No; The paper does not seem to be related to CBFM, but rather focuses on stream naturalization near Chicago, Illinois.

ReflectionThe initial response is incorrect. Although the paper does not explicitly mention CBFM, it does discuss the integration of scientific and social components to translate environmental visions into concrete environmental designs. This could potentially include benefits or barriers to implementing CBFM practices.",
9,Trade-offs between conservation and development in community-based management initiatives,"Community-based management (CBM) has attracted much interest as a conservation and development strategy in natural resource-dependent communities in recent decades. However, most initiatives fail to achieve both objectives. The most analyzed CBM strategies in the literature include donor- and govern-ment-driven initiatives, but other types exist as well. The research objective was to identify the internal and external factors that influence the trade-offs between conservation and development in three internally driven CBM initiatives in Latin America: a long-term indigenous-based conservation strategy, the constitutional recognition of ancestral land rights of Afro-American communities and artisanal fisheries management. The results showed that livelihoods depend on natural resources, but none of the cases identified a balance between conservation and development. Community activities are not the primary cause of natural resource degradation. Conservation is supported by ethnicity and cultural values and is challenged by current development models and worldviews that push intensification of resource use and by power asymmetries. Internal pressures include limited rule compliance and enforcement authority to stop free-riding and unauthorized activities. Internal challenges for development include the lack of capacities, rigid rules and non-inclusive CBM, and the inertia and risk aversion that prevail in many communities. External challenges include the lack of economic incentives and compensation models that enable welfare opportunities linked to sustainable management. © 2017, Igitur, Utrecht Publishing and Archiving Services. All rights reserved.",No,No,"The abstract does not include any case studies of CBFM in Pacific Island countries, which is a requirement of the Screening Criteria."," No; The abstract mentions three case studies in Latin America, but none in Pacific Island countries. 

ReflectionThe Screening Criteria specifically requires a case study in a Pacific Island country, which is not mentioned in the abstract.",Yes,"While the paper may not solely focus on fisheries, it includes a relevant example of fisheries management within the broader context of CBM initiatives in Latin America."," Maybe; The abstract mentions artisanal fisheries management, but it is unclear whether this is the primary focus of the paper.
ReflectionThe abstract discusses three internally driven CBM initiatives in Latin America, including artisanal fisheries management. While the paper may not solely focus on fisheries, it does include a relevant example of fisheries management within the broader context of CBM initiatives.",Maybe,Further information is needed to determine whether the CBM initiatives described in the paper meet the definition of CBM provided in the SC.," Maybe; The abstract mentions ""internally driven CBM initiatives,"" but it is unclear whether these initiatives meet the definition of CBM provided in the SC.
ReflectionThe SC defines CBM as an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources. The abstract mentions CBM initiatives, but it is unclear whether they meet this definition. It is necessary to read the full paper to make a final determination.",No,The paper does not meet the screening criteria as it does not provide information on the benefits of CBFM or barriers to it.," No; The paper is not likely to contain information on the benefits of CBFM or barriers to it.
ReflectionThe paper does not mention CBFM at all. It discusses trade-offs between conservation and development in community-based management initiatives.",
