,Title,Abstract,Accept,"Accept - SC1: Is it possible that the Title and Abstract summarise a paper with a case study from: Cook Islands, Federated States of Micronesia, Fiji, Kiribati, Marshall Islands, Nauru, Niue, Palau, Papua New Guinea, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu","Rationale - SC1: Is it possible that the Title and Abstract summarise a paper with a case study from: Cook Islands, Federated States of Micronesia, Fiji, Kiribati, Marshall Islands, Nauru, Niue, Palau, Papua New Guinea, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu","Thoughts - SC1: Is it possible that the Title and Abstract summarise a paper with a case study from: Cook Islands, Federated States of Micronesia, Fiji, Kiribati, Marshall Islands, Nauru, Niue, Palau, Papua New Guinea, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu",Accept - SC2: Is it likely that the Title and Abstract summarise a paper that will discuss fisheries and/or marine resource management?,Rationale - SC2: Is it likely that the Title and Abstract summarise a paper that will discuss fisheries and/or marine resource management?,Thoughts - SC2: Is it likely that the Title and Abstract summarise a paper that will discuss fisheries and/or marine resource management?,Accept - SC3: Is it likely that the Title and Abstract summarise a paper that will discuss a community-based approach? Exclude if there is a focus on co-management.,Rationale - SC3: Is it likely that the Title and Abstract summarise a paper that will discuss a community-based approach? Exclude if there is a focus on co-management.,Thoughts - SC3: Is it likely that the Title and Abstract summarise a paper that will discuss a community-based approach? Exclude if there is a focus on co-management.,"Accept - SC4: Is it likely that the Title and Abstract summarise a paper that is part of the peer reviewed published literature? Exclude grey literature, conference reports, and book chapters.","Rationale - SC4: Is it likely that the Title and Abstract summarise a paper that is part of the peer reviewed published literature? Exclude grey literature, conference reports, and book chapters.","Thoughts - SC4: Is it likely that the Title and Abstract summarise a paper that is part of the peer reviewed published literature? Exclude grey literature, conference reports, and book chapters."
0,A comparison of frameworks and objectives for implementation of marine protected areas in Northern Europe and in Southeast Asia,"A proliferation of marine protected areas around the world, including Europe and Southeast Asia, is evidence of a growing global concern for the marine environment and its living resources. While marine protected areas in Europe on a wider scale have generally been considered a tool for either nature conservation or a technical measure in management of fisheries, overall management objectives of marine protected areas in Southeast Asian countries have varied more significantly between countries and sites due to differences in societal needs and opportunities, spatial scales, environmental conditions and varying threats. These differences have resulted in different approaches to marine protected area development and management. Management of the Northern European marine environment and its living resources is highly sectoral and largely determined by central directives and policies stemming from the European Union, such as the Habitats Directive and the Common Fisheries Policy. This paper however, will touch upon an ongoing evolution within the European Union from a strictly sectoral approach to marine protected areas and marine management, towards a more integrated, ecosystem approach to management of fisheries and the marine environment. In Southeast Asia, marine protected area development is usually determined by individual governments, municipalities and coastal communities, based upon specific needs and settings. Examples of such marine protected areas in Vietnam and the Philippines will be described, including their underlying institutional frameworks and objectives such as tourism, management of artisanal fisheries, etc. Examples of differences and similarities between Northern European and Southeast Asian marine protected areas will be presented and areas in which regions might learn from one another identified. For instance, where Southeast Asian protected areas have addressed the inevitable interdependency between healthy ecosystems and sustainable coastal fisheries for decades, marine protected areas in Northern Europe usually address either large scale management of stocks of individual fish species or nature conservation. Tourism has long been an overarching driving force in marine protected area implementation in SE Asia, while in Northern Europe especially this has only had little influence on overall objectives pertaining to the marine environment. Copyright Ã‚Â© 2009 AEHMS.",NA,No,"The paper's focus is on Northern Europe and Southeast Asia, not on any of the countries listed in the screening criteria."," No; The paper focuses on marine protected areas in Northern Europe and Southeast Asia, with no mention of any of the specified countries.
ReflectionThe initial response is correct. The paper's title and abstract do not indicate any case study or focus on the countries listed in the screening criteria.",,,,,,,,,
1,"Antenatal care in rural Bangladesh: Current state of costs, content and recommendations for effective service delivery","Background: Measurement of antenatal care (ANC) service coverage is often limited to the number of contacts or type of providers, reflecting a gap in the assessment of quality as well as cost estimations and health impact. The study aims to determine service subcomponents and provider and patient costs of ANC services and compares them between community (i.e. satellite clinics) and facility care (i.e. primary and secondary health centers) settings in rural Bangladesh. Methods: Service contents and cost data were collected by one researcher and four interviewers in various community and facility health care settings in Gaibandha district between September and December 2016. We conducted structured interviews with organization managers, observational studies of ANC service provision (n = 70) for service contents and provider costs (service and drug costs) and exit interviews with pregnant women (n = 70) for patient costs (direct and indirect costs) in health clinics at community and facility levels. Fisher's exact tests were used to determine any different patient characteristics between community and facility settings. ANC service contents were assessed by 63 subitems categorized into 11 groups and compared within and across community and facility settings. Provider and patient costs were collected in Bangladesh taka and analyzed as 2016 US Dollars (0.013 exchange rate). Results: We found generally similar provider and patient characteristics between the community and facility settings except in clients' gestational age. High compliance (> 50%) of service subcomponents were observed in blood pressure monitoring, weight measurement, iron and folate supplementation given, and tetanus vaccine, while lower compliance of service subcomponents (< 50%) were observed in some physical examinations such as edema and ultrasonogram and routine tests such as blood test and urine test. Average unit costs of ANC service provision were about double at the facility level ($2.75) compared with community-based care ($1.62). ANC patient costs at facilities ($2.66) were about three times higher than in the community ($0.78). Conclusion: The study reveals a delay in pregnant women's initial ANC care seeking, gaps in compliance of ANC subcomponents and difference of provider and patient costs between facility and community settings. Ã‚Â© 2019 The Author(s).",NA,No,"The paper is focused on rural Bangladesh, not any of the Pacific Island countries listed in the SC."," No; The study is clearly stated to be conducted in rural Bangladesh, not any of the listed Pacific Island countries.
ReflectionThe Initial Response is correct. The paper's title and abstract do not mention any of the countries listed in the SC.",,,,,,,,,
2,When a Shark Is More Than a Shark: A Sociopolitical Problem-Solving Approach to Fisher-Shark Interactions,"Fisheries are often conceptualized through a biophysical lens resulting in management approaches that fail to account for stakeholder conflicts and sociopolitical inequities. Using a fisher engagement approach, this case study examines the sociopolitical dimensions of fisher-shark interactions in pursuit of more complete problem definitions and effective solutions. Through interviews with HawaiÃ¢â‚¬Ëœi small boat fishers and observations of a community-based shark-tagging project, we examined fisher perspective, socioeconomic landscapes, stakeholder relationships, and power dynamics. We interpreted these data using an adapted framework that mobilizes concepts from conflict theory and problem definition. We discovered that economic cost, sharks as fishing competitors, and factors of fishers' on-the-water decisions define the fisher-shark interaction problem at the dispute level. Deeper conflicts include fishers' poor perceptions of management legitimacy, degraded relationships with researchers and managers, threatened fisher identities, and poor enforcement capacity. Together, dispute and deeper conflicts limit the effectiveness of singular approaches (e.g., regulation) to mitigate fisher-shark interactions and necessitate multi-pronged solutions with substance-, process-, and relationships-based components. This case study documented one such multi-pronged strategy employing fisher-researcher knowledge exchange, collaborative research, and means of more transparent communication. This strategy has the potential to affect both dispute- and deeper-level outcomes by advancing collective understanding of sharks and shark-handling tools, fisher behavior, and reducing shark mortality. Thus, a sociopolitical approach to problem-solving may yield greater collective benefits to fisheries stakeholders and sharks, with broader implications for the systemic management of complex human and biophysical ecosystem components. Copyright Ã‚Â© 2021 Iwane, Leong, Vaughan and Oleson.",NA,No,"The case study is based in Hawai'i, not in any of the countries specified in the SC."," No; The abstract mentions a case study conducted in Hawai'i, not any of the countries listed in the SC.

ReflectionThe initial response is correct. The abstract clearly states that the case study was conducted in Hawai'i, which is not one of the countries listed in the SC.",,,,,,,,,
3,Prospects of community-based co-management of Philippine abalone fishery,"The Philippine abalone fisheries has been in a continuous decline in the last two decades. From an all-time high of 633 mt in 2004, exports declined to 218 mt in 2008. Reasons cited for the decline are the harvesting of abalone juveniles and broodstock, indiscriminate and destructive methods of harvesting, occurrence of disasters due to anthropogenic and natural causes, and the absence of a management plan for abalone. This paper explores the prospect of community-based co-management (CBCM) approach in addressing the decreasing production of abalone from the wild. The challenges faced by women and men abalone fishers-absence of organized abalone fishers, weak implementation of fishery laws and lack of policy for abalone management, general lack of knowledge on the biology of abalone, and the much needed co-management arrangement with various stakeholders, provide a very fertile ground for community organizing. Community organizing as an over-all strategy in the implementation of the four interrelated components of CBCM provide some prospects for better management of abalone fisheries. The four components of CBCM are: resource management that aims to protect, conserve, regulate and improve the management of abalone fishery resources; community and economic development and livelihood which hopes to widen the socio-economic opportunities to improve people's well-being; capacity building that aims to increase people's knowledge on the biology of abalone and their awareness on the need for its judicious management; and, institutional support, networking and advocacy that hopes to enable the various stakeholders-fishers, LGUs, academe, research institutions to work together and share in the benefits of management. The sharing of responsibilities and authority based on each partner's resources and capacities may be a contentious issue but CBCM has to deal with it. While CBCM is not a one-size-fits-all strategy to address the complex issues of fisheries management, the challenges present in the different study areas call for a CBCM approach that is adaptive and context-specific. The collective learning process innate in CBCM shall provide the best alternatives that will ensure that abalone fisheries will be sustained. Ã‚Â© 2018 Elsevier Ltd",NA,No,"The study is based in the Philippines, not in any of the countries specified in the SC."," No; The paper is focused on the Philippine abalone fishery, not any of the countries listed in the SC.

ReflectionThe initial response is correct. The paper's title and abstract clearly state that the study is based in the Philippines, which is not one of the countries listed in the SC.",,,,,,,,,
4,"Not satisfactory, but still acceptable: Exploring socioeconomic incentives of individual quota systems in Japanese Pacific bluefin tuna fisheries from the management leadersÃ¢â‚¬â„¢ perspective","The individual quota (IQ) system is a rights-based management system that has been implemented in many countries, despite its lack of quota transferability. The purpose of this study was to explore the incentives behind the introduction of a non-transferable IQ system from the management leadersÃ¢â‚¬â„¢ perspective through comparative case study of three Japanese Pacific bluefin tuna (Thunnus orientalis) fisheries with different community units. In 2019Ã¢â‚¬â€œ2020, process tracing was conducted through semi-structured interviews with fisheries management staff, prefectural governments, and fishing cooperative associations who play an important role in introducing the IQ system in each community. In each case, in order to set allocations and to manage catch quotas, local fishers could participate in the council or by attending meetings. With a high priority for complying with the defined PBF catch quotas, the IQ system was finally introduced, either as a standalone system or combined with other management methods. While the non-transferable IQ systems in the case studies were not necessarily selected as satisfactory, but still considered acceptable, our data suggests that socioeconomic incentives, including revenue improvement and ensuring equity, were important. These incentives were not triggered by the system per se, but were due to a well-functioning co-management system. Recently, there has been a shift from voluntary IQ systems to government-led ones based on the revised Fisheries Act. Future trends should continue to be monitored, as government-led systems have stricter rules that may hamper the socioeconomic incentives described above. Ã‚Â© 2023 The Authors",NA,No,"The paper's case study is based in Japan, not in any of the specified locations."," No; The abstract and title indicate that the study is focused on Japanese Pacific bluefin tuna fisheries, not any of the specified locations.

ReflectionThe initial response is correct. The paper's focus is clearly on Japan, with no mention of any of the locations listed in the screening criteria.",,,,,,,,,
5,"Stroke care in the next decades: A projection derived from a community-based study in Umbria, Italy","Recently published data show that stroke incidence is no longer declining, while case fatality rates has had a less pronunced fall in recent years than in the past. Projections of the increasing number of elderly people, combined with the greater risk of stroke in old age, suggest that in the forthcoming decades we will be faced with an increased request of health resources for patients with stroke. We have therefore used data from a community-based study on stroke incidence and outcome to project the number of first ever strokes, death from stroke and handicap from stroke in Italy, up to the year 2016. Results show that incidence will increase by 22.2%, and death at 6 months from first ever stroke by 29%. However, since patients already handicapped for other reasons are more likely to die from their stroke, the net number of newly handicapped persons will only increased by 5%. These results suggest that in the next decades the major increase in request of health care resources will result from the acute event and the immediate post-ictal phase, and not from the management of chronic handicap after a stroke. Ã‚Â© 1993 Gustav Fisher.",NA,No,"The study is explicitly based in Italy, not in any of the Pacific Island nations specified in the screening criteria."," No; The paper is clearly focused on a study conducted in Umbria, Italy, not any of the listed Pacific Island nations.

ReflectionThe initial response is correct. The title and abstract of the paper make it clear that the study was conducted in Italy, and there is no mention of any of the Pacific Island nations listed in the screening criteria.",,,,,,,,,
6,"Introducing of a silvofishery pond on sapling and seedling density based in Lubuk Kertang Village, North Sumatera","The present study reports the introducing of mangrove management through community-based silvofishery pond according to the density of sapling and seedling stage in Lubuk Kertang village, Langkat, North Sumatra, Indonesia. The vegetation in the silvofishery pond consisted of Rhizophora apiculata, R. mucronata, and Avicennia marina. Silvofishery pond was introduced with an area total of 8,484 m2, with an area of 0.4242 ha in each pond of dominated seedlings and saplings, respectively. In the predominated seedling density over sapling showing almost twice found that seedling density consisted of 297 individual/ha which domination of R. apiculata compared to sapling density of 144 individual/ha. Similarly, 726 individual/ha was recorded in the sapling stage, where R. mucronata dominated. Furthermore, the seedling density in the sapling domination ponds for the seedling level was 398 individual/ha. R. mucronata detected in ponds with sapling dominance and seedling domination generally located in the middle part of the pond. By contrast, R. apiculata dominated the seedling level either in the seedlings or saplings stage. Introducing silvofishery with seedling and sapling stages should use recommended species such R. mucronata and R. apiculata to sustain nutrient of fish and to generate high phytoplankton growth. Ã‚Â© Published under licence by IOP Publishing Ltd.",NA,No,The study is not from any of the specified locations in the SC.," No; The study is based in Lubuk Kertang village, Langkat, North Sumatra, Indonesia, which is not one of the specified locations in the SC.

ReflectionThe initial response is correct as the location of the study does not match any of the locations specified in the SC.",,,,,,,,,
7,"Feasibility and Acceptability of Brighter Bites: A Food Co-Op in Schools to Increase Access, Continuity and Education of Fruits and Vegetables Among Low-Income Populations","Intake of fruits and vegetables (F&V) continues to be low in children in the United States. The purpose of this study was to conduct a pilot feasibility evaluation of Brighter Bites, a school-based food co-op to provide access to fresh F&V and nutrition education to low-income children and their families. Brighter Bites is a 16-week school-based food co-op consisting of: (1) Weekly distribution of 50Ã¢â‚¬â€œ60 servings of fresh F&V; (2) Weekly bilingual parent handouts and recipe demonstrations; and (3) implementing CATCH, a coordinated school health program in schools. Brighter Bites was pilot tested using a pre-post evaluation design in one charter school in Houston, TX, USA (nÃ‚Â =Ã‚Â 57 3rd grade parentÃ¢â‚¬â€œchild dyads; 94.1Ã‚Â % Hispanic, 91Ã‚Â % low-income). Evaluation, at baseline, midpoint, and post-intervention, included self-reported child and parent surveys on psychosocial factors, dietary habits and mealtime practices. PearsonÃ¢â‚¬â„¢s Chi square test, FisherÃ¢â‚¬â„¢s exact-test or paired t test were used to determine changes pre- to post-intervention (at pÃ‚Â <Ã‚Â 0.05). Process data using parent surveys, teacher surveys, attendance logs, and produce cost data were used to determine feasibility and acceptability of program. Participants received on average 61 servings of F&V weekly for 16Ã‚Â weeks at the cost of $4.31/family/week. Results showed significant increases in child reported self-efficacy, outcome expectations and attitudes towards consuming F&V (pÃ‚Â <Ã‚Â 0.05). We found significant increases in child exposure to F&V and child preference of various F&V from baseline to post-intervention (pÃ‚Â <Ã‚Â 0.05). Parent surveys showed significant improvements in mealtime practices at home: decrease in children eating while watching TV, increase in eating dinner with the family, less fast food, less sugary drinks with meals, more children asking for F&V as snacks. Process data showed 98Ã‚Â % retention rate and high parent acceptability of program components. Brighter Bites is a promising strategy to increase F&V access and education in low-income populations using existing infrastructure of schools and food banks. Ã‚Â© 2015, Springer Science+Business Media New York.",NA,No,"The study was conducted in Houston, TX, USA, not in any of the specified locations in the screening criteria."," No; The abstract clearly states that the study was conducted in Houston, TX, USA, which is not one of the specified locations in the screening criteria.

ReflectionThe initial response is correct. The study location is explicitly stated in the abstract and it does not match any of the locations specified in the screening criteria.",,,,,,,,,
8,"Integrating science and technology to support stream naturalization near Chicago, Illinois","Many urban and suburban communities in the Midwest are seeking to establish sustainable, morphologically and hydraulically varied, yet dynamically stable fluvial systems that are capable of supporting healthy, biologically diverse aquatic ecosystems - a process known as stream naturalization. This paper describes an integrated research program that seeks to develop a scientific and technological framework to support two stream naturalization projects near Chicago, Illinois. The research program integrates theory and methods in fluvial geomorphology, aquatic ecology, hydraulic engineering and social theory. Both the conceptual and the practical challenges of that integration are discussed. Scientific and technical support emphasize the development of predictive tools to evaluate the performance of possible naturalization designs at scales most appropriate to community based projects. Social analysis focuses on place based evaluations of how communities formulate an environmental vision and then, through decision making, translate this vision into specific stream naturalization strategies. Integration of scientific and technical with social components occurs in the context of community based decision making as the predictive tools are employed by project scientists to help local communities translate their environmental visions into concrete environmental designs. Social analysis of this decision making process reveals how the interplay between the community's vision of what they want the watershed to become, and the scientific perspective on what the watershed can become to achieve the community's environmental goals, leads to the implementation of specific stream naturalization practices.",NA,No,"The paper's case study is based in Chicago, Illinois, not in any of the Pacific Island nations specified in the SC."," No; The paper is clearly about a case study in Chicago, Illinois, not any of the listed Pacific Island nations.

ReflectionThe Initial Response is correct. The paper's title and abstract do not mention any of the Pacific Island nations listed in the SC.",,,,,,,,,
9,Trade-offs between conservation and development in community-based management initiatives,"Community-based management (CBM) has attracted much interest as a conservation and development strategy in natural resource-dependent communities in recent decades. However, most initiatives fail to achieve both objectives. The most analyzed CBM strategies in the literature include donor- and govern-ment-driven initiatives, but other types exist as well. The research objective was to identify the internal and external factors that influence the trade-offs between conservation and development in three internally driven CBM initiatives in Latin America: a long-term indigenous-based conservation strategy, the constitutional recognition of ancestral land rights of Afro-American communities and artisanal fisheries management. The results showed that livelihoods depend on natural resources, but none of the cases identified a balance between conservation and development. Community activities are not the primary cause of natural resource degradation. Conservation is supported by ethnicity and cultural values and is challenged by current development models and worldviews that push intensification of resource use and by power asymmetries. Internal pressures include limited rule compliance and enforcement authority to stop free-riding and unauthorized activities. Internal challenges for development include the lack of capacities, rigid rules and non-inclusive CBM, and the inertia and risk aversion that prevail in many communities. External challenges include the lack of economic incentives and compensation models that enable welfare opportunities linked to sustainable management. Ã‚Â© 2017, Igitur, Utrecht Publishing and Archiving Services. All rights reserved.",NA,No,"The case studies in the paper are from Latin America, not from the Pacific Island countries listed in the screening criteria."," No; The abstract mentions that the case studies are from Latin America, not from any of the listed Pacific Island countries.

ReflectionThe initial response is correct. The abstract clearly states that the case studies are from Latin America, which does not include any of the countries listed in the screening criteria.",,,,,,,,,
