Method,Reflection,Committee,Kappa,n_misses,n_extras,n_finds,n_omits
AI-1_Initial,FALSE,FALSE,0.650278303,35,26,65,972
AI-2_Initial,FALSE,FALSE,0.616214041,39,27,61,971
AI-3_Initial,FALSE,FALSE,0.646204058,35,27,65,971
AI-Initial-Committee,FALSE,TRUE,0.660783062,33,27,67,971
AI-1_Reflection,TRUE,FALSE,0.636648692,39,22,61,976
AI-2_Reflection,TRUE,FALSE,0.613124862,42,22,58,976
AI-3_Reflection,TRUE,FALSE,0.636648692,39,22,61,976
AI-Reflection-Committee,TRUE,TRUE,0.651952936,37,22,63,976
AI-AnyYes,TRUE,TRUE,0.660783062,33,27,67,971
,,,,,,,
,,,,,,,
,,,,,,,
