Method,Reflection,Committee,Kappa,n_misses,n_extras,n_finds,n_omits
AI-1_Initial,FALSE,FALSE,0.721737781,30,19,72,977
AI-2_Initial,FALSE,FALSE,0.689030147,34,20,68,976
AI-3_Initial,FALSE,FALSE,0.717365787,30,20,72,976
AI-Initial-Committee,FALSE,TRUE,0.731145935,28,20,74,976
AI-1_Reflection,TRUE,FALSE,0.711049528,34,15,68,981
AI-2_Reflection,TRUE,FALSE,0.688877264,37,15,65,981
AI-3_Reflection,TRUE,FALSE,0.711049528,34,15,68,981
AI-Reflection-Committee,TRUE,TRUE,0.725479557,32,15,70,981
AI-AnyYes,TRUE,TRUE,0.731145935,28,20,74,976
Human,FALSE,FALSE,0.901864982,10,8,92,988
