Method,Reflection,Committee,Kappa,n_misses,n_extras,n_finds,n_omits
AI-1_Initial,FALSE,FALSE,0.72511822,20,34,82,962
AI-2_Initial,FALSE,FALSE,0.711044627,21,36,81,960
AI-3_Initial,FALSE,FALSE,0.689541947,22,40,80,956
AI-Initial-Committee,FALSE,TRUE,0.701703649,17,45,85,951
AI-1_Reflection,TRUE,FALSE,0.701177414,25,32,77,964
AI-2_Reflection,TRUE,FALSE,0.700905842,22,37,80,959
AI-3_Reflection,TRUE,FALSE,0.721854305,18,38,84,958
AI-Reflection-Committee,TRUE,TRUE,0.708090325,11,53,91,943
AI-AnyYes,TRUE,TRUE,0.708480943,6,61,96,935
Human,FALSE,FALSE,0.901864982,10,8,92,988
