,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC1
0,A comparison of frameworks and objectives for implementation of marine protected areas in Northern Europe and in Southeast Asia,"A proliferation of marine protected areas around the world, including Europe and Southeast Asia, is evidence of a growing global concern for the marine environment and its living resources. While marine protected areas in Europe on a wider scale have generally been considered a tool for either nature conservation or a technical measure in management of fisheries, overall management objectives of marine protected areas in Southeast Asian countries have varied more significantly between countries and sites due to differences in societal needs and opportunities, spatial scales, environmental conditions and varying threats. These differences have resulted in different approaches to marine protected area development and management. Management of the Northern European marine environment and its living resources is highly sectoral and largely determined by central directives and policies stemming from the European Union, such as the Habitats Directive and the Common Fisheries Policy. This paper however, will touch upon an ongoing evolution within the European Union from a strictly sectoral approach to marine protected areas and marine management, towards a more integrated, ecosystem approach to management of fisheries and the marine environment. In Southeast Asia, marine protected area development is usually determined by individual governments, municipalities and coastal communities, based upon specific needs and settings. Examples of such marine protected areas in Vietnam and the Philippines will be described, including their underlying institutional frameworks and objectives such as tourism, management of artisanal fisheries, etc. Examples of differences and similarities between Northern European and Southeast Asian marine protected areas will be presented and areas in which regions might learn from one another identified. For instance, where Southeast Asian protected areas have addressed the inevitable interdependency between healthy ecosystems and sustainable coastal fisheries for decades, marine protected areas in Northern Europe usually address either large scale management of stocks of individual fish species or nature conservation. Tourism has long been an overarching driving force in marine protected area implementation in SE Asia, while in Northern Europe especially this has only had little influence on overall objectives pertaining to the marine environment. Copyright © 2009 AEHMS.",No,No,The paper does not meet the screening criteria because it does not include any case study of CBFM in a Pacific Island country.," No; The paper discusses marine protected areas in Europe and Southeast Asia but does not mention Pacific Island countries or CBFM.

ReflectionThe paper does not meet the screening criteria since it does not discuss any case study of CBFM in Pacific Island countries. The screening criteria require at least one case study of CBFM in a Pacific Island country, but the paper only talks about marine protected areas in Europe and Southeast Asia.",Yes,"Although the paper includes other objectives such as nature conservation, tourism, and artisanal fisheries, it still has a significant focus on fisheries management in both Northern Europe and Southeast Asia. The comparison of management objectives between the two regions includes fisheries management as a key aspect."," Maybe; The abstract mentions marine protected areas and management of fisheries in both Northern Europe and Southeast Asia, but it also includes other objectives such as nature conservation, tourism, and artisanal fisheries.

ReflectionThe abstract mentions fisheries management in both regions, but it also includes other objectives that may not be directly related to fisheries. The SC allows for broader marine resource management papers to be included if they still have a focus on fisheries management. Therefore, it is important to determine if fisheries management is still a significant aspect of the paper despite the inclusion of other objectives.",Maybe,"The abstract mentions that marine protected area development is usually determined by individual governments, municipalities, and coastal communities in Southeast Asia, but it does not explicitly state that the study focuses on community-based management. The paper may or may not meet the SC, as there is not enough information in the abstract to determine if the study focuses solely on community-based management."," Maybe; The abstract mentions that marine protected area development is determined by individual governments, municipalities and coastal communities in Southeast Asia, but it does not explicitly state that the study focuses on community-based management.
ReflectionThe SC is looking for studies related to community-based management, which gives primary responsibility to coastal communities and fishers for managing their coastal resources. The abstract mentions that marine protected area development is usually determined by individual governments, municipalities, and coastal communities in Southeast Asia. However, it does not explicitly state that the study focuses on community-based management or if this approach is used in Northern Europe.",No,The given title and abstract do not meet the Screening Criteria as they do not contain any information related to CBFM.," No; The given title and abstract talk about marine protected areas and their management in different regions of the world, and does not mention anything related to CBFM.
ReflectionThe Screening Criteria is looking for studies that provide information on the benefits or barriers to Community-Based Fisheries Management (CBFM). The given title and abstract only discuss marine protected areas and their management, and do not mention CBFM at all.",
1,"Antenatal care in rural Bangladesh: Current state of costs, content and recommendations for effective service delivery","Background: Measurement of antenatal care (ANC) service coverage is often limited to the number of contacts or type of providers, reflecting a gap in the assessment of quality as well as cost estimations and health impact. The study aims to determine service subcomponents and provider and patient costs of ANC services and compares them between community (i.e. satellite clinics) and facility care (i.e. primary and secondary health centers) settings in rural Bangladesh. Methods: Service contents and cost data were collected by one researcher and four interviewers in various community and facility health care settings in Gaibandha district between September and December 2016. We conducted structured interviews with organization managers, observational studies of ANC service provision (n = 70) for service contents and provider costs (service and drug costs) and exit interviews with pregnant women (n = 70) for patient costs (direct and indirect costs) in health clinics at community and facility levels. Fisher's exact tests were used to determine any different patient characteristics between community and facility settings. ANC service contents were assessed by 63 subitems categorized into 11 groups and compared within and across community and facility settings. Provider and patient costs were collected in Bangladesh taka and analyzed as 2016 US Dollars (0.013 exchange rate). Results: We found generally similar provider and patient characteristics between the community and facility settings except in clients' gestational age. High compliance (> 50%) of service subcomponents were observed in blood pressure monitoring, weight measurement, iron and folate supplementation given, and tetanus vaccine, while lower compliance of service subcomponents (< 50%) were observed in some physical examinations such as edema and ultrasonogram and routine tests such as blood test and urine test. Average unit costs of ANC service provision were about double at the facility level ($2.75) compared with community-based care ($1.62). ANC patient costs at facilities ($2.66) were about three times higher than in the community ($0.78). Conclusion: The study reveals a delay in pregnant women's initial ANC care seeking, gaps in compliance of ANC subcomponents and difference of provider and patient costs between facility and community settings. © 2019 The Author(s).",No,No,This study does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The study does not include any mention of CBFM or Pacific Island countries.
ReflectionThe screening criteria requires the study to include at least one case study of CBFM in a Pacific Island country. This study does not mention CBFM or any Pacific Island country, making it irrelevant to the screening criteria.",No,The study does not meet the screening criteria as it does not have a focus on fisheries management or include fisheries-related examples.," No; The title and abstract do not mention anything related to fisheries or marine resource management.
ReflectionThe SC requires that the paper must have a focus on fisheries management or at least include fisheries-related examples. The given title and abstract do not mention anything about fisheries or marine resource management.",No,The paper is not related to community-based management.," No; The paper is not related to community-based management.
ReflectionThe paper is about antenatal care service coverage and costs in rural Bangladesh, which is not related to fisheries management or community-based management.",No,The paper does not meet the Screening Criteria as it does not contain any information on CBFM.," No; The paper focuses on the cost and compliance of antenatal care service provision in rural Bangladesh.
ReflectionThe paper does not mention anything about CBFM, either barriers or benefits, as required by the Screening Criteria.",
2,When a Shark Is More Than a Shark: A Sociopolitical Problem-Solving Approach to Fisher-Shark Interactions,"Fisheries are often conceptualized through a biophysical lens resulting in management approaches that fail to account for stakeholder conflicts and sociopolitical inequities. Using a fisher engagement approach, this case study examines the sociopolitical dimensions of fisher-shark interactions in pursuit of more complete problem definitions and effective solutions. Through interviews with Hawai‘i small boat fishers and observations of a community-based shark-tagging project, we examined fisher perspective, socioeconomic landscapes, stakeholder relationships, and power dynamics. We interpreted these data using an adapted framework that mobilizes concepts from conflict theory and problem definition. We discovered that economic cost, sharks as fishing competitors, and factors of fishers' on-the-water decisions define the fisher-shark interaction problem at the dispute level. Deeper conflicts include fishers' poor perceptions of management legitimacy, degraded relationships with researchers and managers, threatened fisher identities, and poor enforcement capacity. Together, dispute and deeper conflicts limit the effectiveness of singular approaches (e.g., regulation) to mitigate fisher-shark interactions and necessitate multi-pronged solutions with substance-, process-, and relationships-based components. This case study documented one such multi-pronged strategy employing fisher-researcher knowledge exchange, collaborative research, and means of more transparent communication. This strategy has the potential to affect both dispute- and deeper-level outcomes by advancing collective understanding of sharks and shark-handling tools, fisher behavior, and reducing shark mortality. Thus, a sociopolitical approach to problem-solving may yield greater collective benefits to fisheries stakeholders and sharks, with broader implications for the systemic management of complex human and biophysical ecosystem components. Copyright © 2021 Iwane, Leong, Vaughan and Oleson.",No,No,The abstract does not meet the screening criteria because it does not include a case study of CBFM in a Pacific Island country.," No; The abstract does not mention CBFM or Pacific Island countries.
ReflectionThe abstract focuses on fisher-shark interactions and sociopolitical dimensions of fisheries management. However, it does not mention CBFM or Pacific Island countries, which are the key elements of the screening criteria.",Maybe,"While the paper focuses on fisher-shark interactions and includes a fisheries-related example, it also includes a broader focus on sociopolitical aspects of marine resource management."," Maybe; The abstract mentions fisher-shark interactions and the study seems to focus on the sociopolitical dimensions of this issue, but it is not clear whether the paper is solely focused on fisheries management.

ReflectionThe paper title and abstract center around fisher-shark interactions, which is a fisheries-related issue. However, the abstract also mentions the need for a sociopolitical approach to fisheries management, which suggests a broader scope than just fisheries management.",Maybe,"While the paper does not explicitly state that it is about community-based management, the mention of a community-based shark-tagging project suggests that some level of community involvement is present in the study."," Maybe; The abstract does not mention community-based management explicitly, but it does mention a community-based shark-tagging project.
ReflectionThe abstract does not explicitly state that the study is related to community-based management. However, it does mention a community-based shark-tagging project, which implies some level of community involvement in fisheries management.",No,The paper is not likely to contain information on the benefits of CBFM or barriers to CBFM as it focuses on the sociopolitical dimensions of fisher-shark interactions.," No; The paper does not focus specifically on the benefits or barriers of CBFM, but rather on the sociopolitical dimensions of fisher-shark interactions.
ReflectionThe given paper does not meet the Screening Criteria as it does not focus on the benefits or barriers of CBFM. The paper deals with the sociopolitical dimensions of fisher-shark interactions and how to address the conflicts arising from it.",
3,Prospects of community-based co-management of Philippine abalone fishery,"The Philippine abalone fisheries has been in a continuous decline in the last two decades. From an all-time high of 633 mt in 2004, exports declined to 218 mt in 2008. Reasons cited for the decline are the harvesting of abalone juveniles and broodstock, indiscriminate and destructive methods of harvesting, occurrence of disasters due to anthropogenic and natural causes, and the absence of a management plan for abalone. This paper explores the prospect of community-based co-management (CBCM) approach in addressing the decreasing production of abalone from the wild. The challenges faced by women and men abalone fishers-absence of organized abalone fishers, weak implementation of fishery laws and lack of policy for abalone management, general lack of knowledge on the biology of abalone, and the much needed co-management arrangement with various stakeholders, provide a very fertile ground for community organizing. Community organizing as an over-all strategy in the implementation of the four interrelated components of CBCM provide some prospects for better management of abalone fisheries. The four components of CBCM are: resource management that aims to protect, conserve, regulate and improve the management of abalone fishery resources; community and economic development and livelihood which hopes to widen the socio-economic opportunities to improve people's well-being; capacity building that aims to increase people's knowledge on the biology of abalone and their awareness on the need for its judicious management; and, institutional support, networking and advocacy that hopes to enable the various stakeholders-fishers, LGUs, academe, research institutions to work together and share in the benefits of management. The sharing of responsibilities and authority based on each partner's resources and capacities may be a contentious issue but CBCM has to deal with it. While CBCM is not a one-size-fits-all strategy to address the complex issues of fisheries management, the challenges present in the different study areas call for a CBCM approach that is adaptive and context-specific. The collective learning process innate in CBCM shall provide the best alternatives that will ensure that abalone fisheries will be sustained. © 2018 Elsevier Ltd",No,No,The paper does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The paper discusses the Philippine abalone fishery but does not mention any Pacific Island country.

ReflectionThe SC requires that the study specifically focus on a Pacific Island country, which this paper does not.",Yes,"The paper explicitly discusses the management of the Philippine abalone fishery, satisfying the screening criteria."," Yes; The paper focuses on the management of the Philippine abalone fishery.

ReflectionThe paper's central topic is the management of the Philippine abalone fishery, which directly aligns with the screening criteria.",Maybe,"The paper uses the term CBCM throughout, but also references the need for co-management arrangements with various stakeholders, making it unclear whether it meets the SC."," Maybe; The paper mentions community-based co-management (CBCM) throughout the abstract, but also references the need for co-management arrangements with various stakeholders.
ReflectionThe paper uses the term CBCM, which suggests a community-led approach to fisheries management. However, it also references the need for co-management arrangements with various stakeholders, which may include government actors. It is unclear from the abstract whether the paper meets the SC.",No,The paper does not meet the SC as it does not present information on CBFM or barriers to CBFM.," No; The paper does not present information on CBFM, nor does it present barriers for CBFM. 
ReflectionThe paper is focused on community-based co-management of abalone fisheries and does not address CBFM in any capacity.",
4,"Not satisfactory, but still acceptable: Exploring socioeconomic incentives of individual quota systems in Japanese Pacific bluefin tuna fisheries from the management leaders’ perspective","The individual quota (IQ) system is a rights-based management system that has been implemented in many countries, despite its lack of quota transferability. The purpose of this study was to explore the incentives behind the introduction of a non-transferable IQ system from the management leaders’ perspective through comparative case study of three Japanese Pacific bluefin tuna (Thunnus orientalis) fisheries with different community units. In 2019–2020, process tracing was conducted through semi-structured interviews with fisheries management staff, prefectural governments, and fishing cooperative associations who play an important role in introducing the IQ system in each community. In each case, in order to set allocations and to manage catch quotas, local fishers could participate in the council or by attending meetings. With a high priority for complying with the defined PBF catch quotas, the IQ system was finally introduced, either as a standalone system or combined with other management methods. While the non-transferable IQ systems in the case studies were not necessarily selected as satisfactory, but still considered acceptable, our data suggests that socioeconomic incentives, including revenue improvement and ensuring equity, were important. These incentives were not triggered by the system per se, but were due to a well-functioning co-management system. Recently, there has been a shift from voluntary IQ systems to government-led ones based on the revised Fisheries Act. Future trends should continue to be monitored, as government-led systems have stricter rules that may hamper the socioeconomic incentives described above. © 2023 The Authors",No,No,The abstract does not meet the SC because there is no mention of a Pacific Island country case study.," No; The abstract does not mention any Pacific Island country case studies.

ReflectionThe SC states that the study must include at least one case study of CBFM in a Pacific Island country. The abstract mentions a comparative case study of three Japanese Pacific bluefin tuna fisheries, but there is no mention of the study being conducted in a Pacific Island country.",Yes,"The study focuses on Pacific bluefin tuna fisheries and also looks at the incentives behind the introduction of a non-transferable IQ system from the management leaders' perspective, which is still related to fisheries management."," Maybe; The abstract mentions Pacific bluefin tuna fisheries, but the study also looks at the incentives behind the introduction of a non-transferable IQ system from the management leaders' perspective.

ReflectionThe study looks at the incentives behind the introduction of a non-transferable IQ system from the management leaders' perspective, but it does so in the context of Pacific bluefin tuna fisheries. Therefore, the study does have a focus on fisheries management, even though it also looks at broader marine resource management.",Maybe,"Although the abstract does not mention community-based management explicitly, the mention of a well-functioning co-management system suggests that the study may meet the criteria."," Maybe; The abstract does not mention community-based management explicitly, but it does mention co-management.
ReflectionThe abstract mentions a well-functioning co-management system, but it does not mention community-based management explicitly. However, co-management can include community-led approaches, so it is possible that the study meets the criteria.",No,The paper does not meet the Screening Criteria as it does not mention CBFM or barriers to CBFM.," No; The paper is about the implementation of the individual quota system in Japanese Pacific bluefin tuna fisheries, and does not mention CBFM or barriers to CBFM. 

ReflectionThe paper does not meet the Screening Criteria as it does not mention CBFM or barriers to CBFM.",
5,"Stroke care in the next decades: A projection derived from a community-based study in Umbria, Italy","Recently published data show that stroke incidence is no longer declining, while case fatality rates has had a less pronunced fall in recent years than in the past. Projections of the increasing number of elderly people, combined with the greater risk of stroke in old age, suggest that in the forthcoming decades we will be faced with an increased request of health resources for patients with stroke. We have therefore used data from a community-based study on stroke incidence and outcome to project the number of first ever strokes, death from stroke and handicap from stroke in Italy, up to the year 2016. Results show that incidence will increase by 22.2%, and death at 6 months from first ever stroke by 29%. However, since patients already handicapped for other reasons are more likely to die from their stroke, the net number of newly handicapped persons will only increased by 5%. These results suggest that in the next decades the major increase in request of health care resources will result from the acute event and the immediate post-ictal phase, and not from the management of chronic handicap after a stroke. © 1993 Gustav Fisher.",No,No,The paper does not meet the screening criteria as it is not related to CBFM or Pacific Island countries.," No; The paper is about projecting the number of strokes in Italy.
ReflectionThe paper has nothing to do with CBFM or Pacific Island countries.",No,The paper does not meet the screening criteria as it does not focus on fisheries or marine resource management.," No; There is no mention of fisheries or marine resource management in the title or abstract.
ReflectionThe title and abstract do not mention fisheries or marine resource management, and therefore, it does not meet the screening criteria.",No,The paper does not meet the screening criteria as it does not mention community-based management.," No; The paper title and abstract do not mention community-based management. 

ReflectionThe paper title and abstract do not seem to be related to community-based management, so it is unlikely that the paper will meet the screening criteria.",No,The paper does not meet the screening criteria as it does not relate to CBFM.," No; The Title and Abstract do not mention anything about CBFM.
ReflectionThe paper does not meet the screening criteria as it does not relate to CBFM.",
6,"Introducing of a silvofishery pond on sapling and seedling density based in Lubuk Kertang Village, North Sumatera","The present study reports the introducing of mangrove management through community-based silvofishery pond according to the density of sapling and seedling stage in Lubuk Kertang village, Langkat, North Sumatra, Indonesia. The vegetation in the silvofishery pond consisted of Rhizophora apiculata, R. mucronata, and Avicennia marina. Silvofishery pond was introduced with an area total of 8,484 m2, with an area of 0.4242 ha in each pond of dominated seedlings and saplings, respectively. In the predominated seedling density over sapling showing almost twice found that seedling density consisted of 297 individual/ha which domination of R. apiculata compared to sapling density of 144 individual/ha. Similarly, 726 individual/ha was recorded in the sapling stage, where R. mucronata dominated. Furthermore, the seedling density in the sapling domination ponds for the seedling level was 398 individual/ha. R. mucronata detected in ponds with sapling dominance and seedling domination generally located in the middle part of the pond. By contrast, R. apiculata dominated the seedling level either in the seedlings or saplings stage. Introducing silvofishery with seedling and sapling stages should use recommended species such R. mucronata and R. apiculata to sustain nutrient of fish and to generate high phytoplankton growth. © Published under licence by IOP Publishing Ltd.",No,No,"The abstract did not mention any case study of CBFM in a Pacific Island country, so it does not meet the SC."," No; The study did not mention any Pacific Island country.
ReflectionThe abstract did not mention any Pacific Island country, so it is unlikely that it includes a case study of CBFM in a Pacific Island country.",Yes,"The study introduces a silvofishery pond with a focus on sustaining fish nutrient and phytoplankton growth, which is likely to have a positive impact on fisheries management."," Maybe; The abstract mentions silvofishery pond and fish nutrient, but it is not clear whether the study focuses on fisheries management.

ReflectionThe study focuses on introducing a silvofishery pond with a specific vegetation to sustain fish nutrient and phytoplankton growth. Although the abstract does not directly mention fisheries management, the introduction of the pond with the recommended species is likely to impact fisheries management positively.",Maybe,"The paper mentions ""community-based silvofishery pond"", indicating a community involvement in the management process, but it is unclear whether the community has primary responsibility for managing their coastal resources."," Maybe; The paper mentions ""community-based silvofishery pond"" but it is unclear whether the community has primary responsibility for managing coastal resources.
ReflectionThe paper discusses introducing a silvofishery pond in a community setting, but it does not explicitly state whether the community has primary responsibility for managing their coastal resources. However, the use of ""community-based"" suggests that the community has some level of involvement in the management process.",No,The abstract does not meet the screening criteria as it does not contain any information related to the benefits or barriers of CBFM.," No; The abstract does not mention anything related to CBFM.
ReflectionThe abstract focuses on introducing mangrove management through community-based silvofishery ponds, but does not mention anything related to the benefits or barriers of CBFM.",
7,"Feasibility and Acceptability of Brighter Bites: A Food Co-Op in Schools to Increase Access, Continuity and Education of Fruits and Vegetables Among Low-Income Populations","Intake of fruits and vegetables (F&V) continues to be low in children in the United States. The purpose of this study was to conduct a pilot feasibility evaluation of Brighter Bites, a school-based food co-op to provide access to fresh F&V and nutrition education to low-income children and their families. Brighter Bites is a 16-week school-based food co-op consisting of: (1) Weekly distribution of 50–60 servings of fresh F&V; (2) Weekly bilingual parent handouts and recipe demonstrations; and (3) implementing CATCH, a coordinated school health program in schools. Brighter Bites was pilot tested using a pre-post evaluation design in one charter school in Houston, TX, USA (n = 57 3rd grade parent–child dyads; 94.1 % Hispanic, 91 % low-income). Evaluation, at baseline, midpoint, and post-intervention, included self-reported child and parent surveys on psychosocial factors, dietary habits and mealtime practices. Pearson’s Chi square test, Fisher’s exact-test or paired t test were used to determine changes pre- to post-intervention (at p < 0.05). Process data using parent surveys, teacher surveys, attendance logs, and produce cost data were used to determine feasibility and acceptability of program. Participants received on average 61 servings of F&V weekly for 16 weeks at the cost of $4.31/family/week. Results showed significant increases in child reported self-efficacy, outcome expectations and attitudes towards consuming F&V (p < 0.05). We found significant increases in child exposure to F&V and child preference of various F&V from baseline to post-intervention (p < 0.05). Parent surveys showed significant improvements in mealtime practices at home: decrease in children eating while watching TV, increase in eating dinner with the family, less fast food, less sugary drinks with meals, more children asking for F&V as snacks. Process data showed 98 % retention rate and high parent acceptability of program components. Brighter Bites is a promising strategy to increase F&V access and education in low-income populations using existing infrastructure of schools and food banks. © 2015, Springer Science+Business Media New York.",No,No,The paper does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The paper does not mention any Pacific Island countries.
ReflectionThe paper does not mention any Pacific Island countries, and instead focuses on a study conducted in the United States.",No,The paper does not meet the Screening Criteria as it does not have any fisheries related examples or mention any focus on fisheries management.," No; The paper does not address fisheries related examples nor fisheries management.
ReflectionThe paper is focused on evaluating the feasibility and acceptability of a food co-op program in schools to increase access and education of fruits and vegetables among low-income populations. There is no mention of fisheries or marine resource management in the title or abstract.",No,The paper does not meet the Screening Criteria as it does not relate to community-based management of fisheries.," No; The paper does not mention anything related to fisheries management or coastal resources.
ReflectionThe paper focuses on the feasibility and acceptability of a school-based food co-op program to increase access to fresh fruits and vegetables in low-income populations. It does not relate to community-based management of fisheries.",Maybe,"While the abstract does not directly mention CBFM, it does discuss access to fresh fruits and vegetables and nutrition education, which could potentially address barriers to CBFM. Further review of the full paper may be necessary to determine if it meets the screening criteria."," Maybe; The abstract does not directly mention CBFM, but it does discuss food access and nutrition education among low-income populations.
ReflectionThe abstract does not explicitly mention CBFM, but it does discuss access to fresh fruits and vegetables and nutrition education, which could potentially touch on barriers to CBFM.",
8,"Integrating science and technology to support stream naturalization near Chicago, Illinois","Many urban and suburban communities in the Midwest are seeking to establish sustainable, morphologically and hydraulically varied, yet dynamically stable fluvial systems that are capable of supporting healthy, biologically diverse aquatic ecosystems - a process known as stream naturalization. This paper describes an integrated research program that seeks to develop a scientific and technological framework to support two stream naturalization projects near Chicago, Illinois. The research program integrates theory and methods in fluvial geomorphology, aquatic ecology, hydraulic engineering and social theory. Both the conceptual and the practical challenges of that integration are discussed. Scientific and technical support emphasize the development of predictive tools to evaluate the performance of possible naturalization designs at scales most appropriate to community based projects. Social analysis focuses on place based evaluations of how communities formulate an environmental vision and then, through decision making, translate this vision into specific stream naturalization strategies. Integration of scientific and technical with social components occurs in the context of community based decision making as the predictive tools are employed by project scientists to help local communities translate their environmental visions into concrete environmental designs. Social analysis of this decision making process reveals how the interplay between the community's vision of what they want the watershed to become, and the scientific perspective on what the watershed can become to achieve the community's environmental goals, leads to the implementation of specific stream naturalization practices.",No,No,The paper does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The paper is focused on stream naturalization in Illinois, USA. 

ReflectionThe SC requires that the study includes a case study of CBFM in a Pacific Island country, but the title and abstract make no mention of CBFM or Pacific Island countries.",No,The title and abstract do not meet the screening criteria as they do not focus on fisheries or marine resource management.," No; The title and abstract do not mention fisheries or marine resource management.

ReflectionThe title and abstract focus on stream naturalization and the integration of various sciences to support it. There is no mention of fisheries or marine resource management, and the focus is not on managing fish populations.",Yes,"While the paper does not use the term ""community-based management"", the emphasis on community-based decision making and the integration of social analysis aligns with the principles of community-based management."," Maybe; There is no direct mention of community-based management, but the focus on community-based decision making could be interpreted as such.

ReflectionThe paper does not explicitly mention community-based management. However, the focus on community-based decision making and the integration of social analysis could be seen as aligning with the principles of community-based management.",No,"The paper does not meet the SC as it does not contain information on the benefits of CBFM, or barriers to CBFM."," No; The title and abstract do not mention CBFM.
ReflectionThe SC requires that the study be related to CBFM, and there is no mention of CBFM in the title or abstract.",
9,Trade-offs between conservation and development in community-based management initiatives,"Community-based management (CBM) has attracted much interest as a conservation and development strategy in natural resource-dependent communities in recent decades. However, most initiatives fail to achieve both objectives. The most analyzed CBM strategies in the literature include donor- and govern-ment-driven initiatives, but other types exist as well. The research objective was to identify the internal and external factors that influence the trade-offs between conservation and development in three internally driven CBM initiatives in Latin America: a long-term indigenous-based conservation strategy, the constitutional recognition of ancestral land rights of Afro-American communities and artisanal fisheries management. The results showed that livelihoods depend on natural resources, but none of the cases identified a balance between conservation and development. Community activities are not the primary cause of natural resource degradation. Conservation is supported by ethnicity and cultural values and is challenged by current development models and worldviews that push intensification of resource use and by power asymmetries. Internal pressures include limited rule compliance and enforcement authority to stop free-riding and unauthorized activities. Internal challenges for development include the lack of capacities, rigid rules and non-inclusive CBM, and the inertia and risk aversion that prevail in many communities. External challenges include the lack of economic incentives and compensation models that enable welfare opportunities linked to sustainable management. © 2017, Igitur, Utrecht Publishing and Archiving Services. All rights reserved.",No,No,The study does not include any case study of CBFM in a Pacific Island country.," No; The abstract does not mention any case study in a Pacific Island country.

ReflectionThe abstract describes a study that identifies factors that influence trade-offs between conservation and development in three internally driven CBM initiatives in Latin America.",Maybe,The paper includes a case of artisanal fisheries management but it is not clear if the focus is on fisheries management as a whole.," Maybe; The abstract mentions artisanal fisheries management, but the paper may focus on broader marine resource management.

ReflectionThe paper focuses on community-based management initiatives that include conservation and development trade-offs. It specifically mentions a case of artisanal fisheries management, but it is not clear if the focus is on fisheries management as a whole.",Maybe,"The abstract mentions CBM, but also mentions other types of initiatives. It is unclear whether the study only focuses on CBM or includes government-driven initiatives that may not fall under CBM."," Maybe; The abstract mentions CBM, but also mentions donor- and government-driven initiatives, which may fall under government-based management.
ReflectionThe abstract mentions CBM, but also mentions other types of initiatives. It is unclear whether the study only focuses on CBM or includes government-driven initiatives that may not fall under CBM.",No,The paper does not meet the SC as it is not about CBFM and does not provide information on its benefits or barriers.," No; The paper is not about CBFM.
ReflectionThe paper is not about CBFM, but rather about community-based management initiatives for conservation and development in natural resource-dependent communities in Latin America.",
