ft:gpt-3.5-turbo-0613:csiro:cbfm-screen:7yuB57g3
Created fine-tuning job: ftjob-dDFbn9FEmGAu1gNbpgBpdMj9
Fine-tuning job started
Step 1/303: training loss=3.02, validation loss=1.96
Step 11/303: training loss=0.25, validation loss=0.17
Step 21/303: training loss=1.11, validation loss=0.00
Step 31/303: training loss=0.00, validation loss=0.00
Step 41/303: training loss=0.00, validation loss=7.58
Step 51/303: training loss=0.00, validation loss=0.00
Step 61/303: training loss=5.27, validation loss=0.00
Step 71/303: training loss=0.00, validation loss=0.00
Step 81/303: training loss=0.00, validation loss=0.00
Step 91/303: training loss=0.00, validation loss=0.00
Step 101/303: training loss=0.00, validation loss=0.00
Step 111/303: training loss=0.00, validation loss=5.14
Step 121/303: training loss=6.74, validation loss=5.62
Step 131/303: training loss=0.00, validation loss=0.00
Step 141/303: training loss=0.00, validation loss=0.00
Step 151/303: training loss=0.00, validation loss=0.00
Step 161/303: training loss=0.00, validation loss=0.00
Step 171/303: training loss=0.00, validation loss=0.00
Step 181/303: training loss=3.72, validation loss=0.00
Step 191/303: training loss=0.00, validation loss=0.00
Step 201/303: training loss=0.00, validation loss=0.00
Step 211/303: training loss=0.00, validation loss=0.00
Step 221/303: training loss=0.00, validation loss=0.00
Step 231/303: training loss=0.00, validation loss=0.00
Step 241/303: training loss=0.00, validation loss=0.00
Step 251/303: training loss=0.00, validation loss=0.00
Step 261/303: training loss=2.79, validation loss=0.00
Step 271/303: training loss=0.00, validation loss=0.00
Step 281/303: training loss=0.00, validation loss=0.01
Step 291/303: training loss=0.00, validation loss=0.00
Step 301/303: training loss=0.00, validation loss=0.00
New fine-tuned model created: ft:gpt-3.5-turbo-0613:csiro:cbfm-screen:7yuB57g3
The job has successfully completed
